model,arm,lens,layer,site,condition,condition_kind,condition_order,relative_depth,n_pairs,mean_delta_contrast_z,mean_delta_contrast_prob,sign_consistency_z,sign_consistency_prob,mean_contrast_prob_unsafe,mean_contrast_prob_safe,permutation_effect_size,permutation_p,permutation_null_sd,anchor_token_same_frac,topk_enrichment_positive,topk_enrichment_negative,topk_enrichment_random,concept_rank_best
starcoder2-3b,mismatched_pairs,jlens,15,last_token,normalize,baseline,0,0.5172,72,0.14456153125821525,3.0595993105698217e-05,0.75,0.7083333333333334,-0.010895268425541603,-0.0109258644186473,4.948474782161546,0.0,0.02935088290226282,1.0,0.0,0.125,0.0,8.0
starcoder2-3b,mismatched_pairs,jlens,15,last_token,rename_only,atomic,11,0.5172,72,-0.02487580510391565,4.694603468400265e-06,0.4722222222222222,0.5,-0.010854754344060828,-0.01085944894752923,-0.950097990981855,0.37,0.026621709047117317,1.0,0.125,0.25,0.03125,138.0
starcoder2-3b,mismatched_pairs,jlens,15,last_token,opaque_only,atomic,12,0.5172,72,0.08164558074712408,8.957806191677241e-06,0.6388888888888888,0.5833333333333334,-0.010881513011918028,-0.010890470818109708,1.6645647423820689,0.128,0.05323959370044717,0.6388888888888888,0.0,0.125,0.0,21.0
starcoder2-3b,mismatched_pairs,jlens,15,last_token,encode_only,atomic,13,0.5172,72,0.12649717503108843,2.2415772630353886e-05,0.6388888888888888,0.6388888888888888,-0.010892396453324004,-0.010914812225954357,3.835895171063569,0.0,0.033154633231133844,1.0,0.0,0.25,0.0,13.0
starcoder2-3b,mismatched_pairs,jlens,15,last_token,flatten_only,atomic,14,0.5172,72,-0.011695894554668091,-1.3674780183028186e-05,0.4583333333333333,0.4305555555555556,-0.01124654469692262,-0.011232869916739592,-0.39096120592832917,0.754,0.03626635858428917,0.041666666666666664,0.0,0.0,0.03125,85.0
starcoder2-3b,mismatched_pairs,jlens,15,last_token,rename_cumulative,cumulative,21,0.5172,72,0.021296546744599396,3.14167730240268e-06,0.5138888888888888,0.5138888888888888,-0.010858529750890819,-0.01086167142819322,0.728632443969423,0.44,0.026373281492781224,1.0,0.125,0.125,0.03125,61.0
starcoder2-3b,mismatched_pairs,jlens,15,last_token,rename_opaque,cumulative,22,0.5172,72,0.06875964610659596,1.3502030601985974e-05,0.5694444444444444,0.5972222222222222,-0.010879993698093575,-0.01089349572869556,1.012746930185331,0.28,0.06370123619153638,0.5,0.0,0.125,0.0,35.0
starcoder2-3b,mismatched_pairs,jlens,15,last_token,rename_opaque_encode,cumulative,23,0.5172,72,0.015634087796867664,1.2086090803643234e-05,0.4722222222222222,0.5833333333333334,-0.010876274897907066,-0.010888360988710708,0.21144645176458246,0.772,0.05338407542579133,0.5694444444444444,0.0,0.25,0.03125,104.0
starcoder2-3b,mismatched_pairs,jlens,15,last_token,rename_opaque_encode_flatten,cumulative,24,0.5172,72,-0.013127900730483118,3.948506166131579e-07,0.4583333333333333,0.5416666666666666,-0.01132140043548641,-0.01132179528610302,-0.5107807745962322,0.63,0.027767477667826498,0.125,0.0,0.0,0.03125,158.0
starcoder2-3b,mismatched_pairs,jlens,19,last_token,clean_heldout,clean,-1,0.6552,72,0.012728059100218049,4.165466467639143e-06,0.5138888888888888,0.4861111111111111,-0.010439274797417162,-0.010443440263884801,0.6784514151615005,0.464,0.017711619314721243,1.0,0.5,0.375,0.0,69.0
starcoder2-3b,mismatched_pairs,jlens,19,last_token,normalize,baseline,0,0.6552,72,0.06563004571113645,-7.969699985655915e-06,0.6527777777777778,0.5,-0.010863545622952156,-0.010855575922966498,2.9213911347953063,0.006,0.022542167665082612,1.0,0.125,0.125,0.03125,32.0
starcoder2-3b,mismatched_pairs,jlens,19,last_token,rename_only,atomic,11,0.6552,72,-0.05121983616400461,-6.403621759991467e-05,0.4027777777777778,0.3194444444444444,-0.010912437634371115,-0.0108484014167712,-1.8263180454825625,0.056,0.02726987887114542,1.0,0.125,0.125,0.0,99.0
