model,split,lens,layer,site,token_id,token,mean_delta_z,rank,sign_consistency,is_concept_unsafe,is_concept_safe,is_random_control,n_pairs
starcoder2-3b,train,clens,-1,sink_arg,20400, dedic,0.012017433873215041,70,0.13095238095238096,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,21348,duino,-0.028764309733984576,162,0.10119047619047619,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,19158,hz,-0.020237595790869114,144,0.1130952380952381,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,48069,Vg,0.024799705915145413,38,0.13690476190476192,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,28166,tif,0.0022888420247673957,97,0.125,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,36271,shr,-0.03969366395008413,173,0.09523809523809523,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,47634, můžete,-0.02274280826013891,150,0.10119047619047619,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,253,�,-0.018715914161422133,142,0.10714285714285714,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,29524,included,-0.042129514749395275,175,0.08928571428571429,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,16955,ellig,-0.07856377107275499,194,0.10714285714285714,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,21407,Presentation,-0.030760482017477577,163,0.10714285714285714,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,4386,security,0.03550288386762119,22,0.125,0,0,1,168
starcoder2-3b,train,clens,-1,sink_arg,38041,igation,-0.02473060757878303,155,0.09523809523809523,0,0,1,168
starcoder2-3b,train,clens,-1,sink_arg,32173,Symfony,0.01347649940876713,67,0.13095238095238096,0,0,1,168
starcoder2-3b,train,clens,-1,sink_arg,21571, 만,0.018403489553306514,54,0.1130952380952381,0,0,1,168
starcoder2-3b,train,clens,-1,sink_arg,21283,转换,0.005263508003696813,88,0.13690476190476192,0,0,1,168
starcoder2-3b,train,clens,-1,sink_arg,42201,olk,-0.02152259657887832,147,0.1130952380952381,0,0,1,168
starcoder2-3b,train,clens,-1,sink_arg,4224, still,-0.0007381032743195167,104,0.10714285714285714,0,0,1,168
starcoder2-3b,train,clens,-1,sink_arg,34277,Trees,0.026719752034336488,34,0.14285714285714285,0,0,1,168
starcoder2-3b,train,clens,-1,sink_arg,9902,LEMENT,-0.024459153724949795,154,0.10714285714285714,0,0,1,168
starcoder2-3b,train,clens,-1,sink_arg,4629,DATA,0.0336215714560586,25,0.14285714285714285,0,0,1,168
starcoder2-3b,train,clens,-1,sink_arg,25877,figcaption,0.01927837140184263,51,0.13095238095238096,0,0,1,168
starcoder2-3b,train,clens,-1,sink_arg,47953, lea,0.08528124801348808,1,0.13690476190476192,0,0,1,168
starcoder2-3b,train,clens,-1,sink_arg,36163,Configurer,-0.04355434304094247,177,0.10119047619047619,0,0,1,168
starcoder2-3b,train,clens,-1,sink_arg,37411,almost,-0.004028390370828107,111,0.09523809523809523,0,0,1,168
starcoder2-3b,train,clens,-1,sink_arg,35265, Overflow,0.023314148318436218,41,0.13095238095238096,0,0,1,168
starcoder2-3b,train,clens,-1,sink_arg,38636,lamp,-0.013352405018146237,136,0.1130952380952381,0,0,1,168
starcoder2-3b,train,clens,-1,sink_arg,25226,"""/>.",0.01018869596818204,74,0.125,0,0,1,168
starcoder2-3b,train,clens,-1,sink_arg,6297, Resource,0.01633337577921899,61,0.13690476190476192,0,0,1,168
starcoder2-3b,train,clens,-1,sink_arg,41275, DFS,-0.02824155047435735,159,0.10119047619047619,0,0,1,168
starcoder2-3b,train,clens,-1,sink_arg,22137,Identifiers,0.02447708891473183,39,0.11904761904761904,0,0,1,168
starcoder2-3b,train,clens,-1,sink_arg,24593,""">';",0.005673279331995693,87,0.125,0,0,1,168
starcoder2-3b,train,clens,-1,sink_arg,18225,disconnect,0.006724745517169791,82,0.11904761904761904,0,0,1,168
starcoder2-3b,train,clens,-1,sink_arg,8972,itecture,-0.03482832664793394,171,0.1130952380952381,0,0,1,168
starcoder2-3b,train,clens,-1,sink_arg,45552, CORS,0.015540867684374186,63,0.14285714285714285,0,0,1,168
starcoder2-3b,train,clens,-1,sink_arg,38415, IQ,-0.03159698426320729,166,0.1130952380952381,0,0,1,168
starcoder2-3b,train,clens,-1,sink_arg,31647,paramtype,-0.02812811158640731,158,0.10119047619047619,0,0,1,168
starcoder2-3b,train,clens,-1,sink_arg,19779,�,0.007463620134559164,78,0.125,0,0,1,168
starcoder2-3b,train,clens,-1,sink_arg,40440,bpmn,-0.04679513663137192,179,0.08333333333333333,0,0,1,168
starcoder2-3b,train,clens,-1,sink_arg,26808,DetalleFacturaProveedor,-0.007768166699339345,123,0.10119047619047619,0,0,1,168
starcoder2-3b,train,clens,-1,sink_arg,21794, Priority,0.004320450839700956,91,0.1130952380952381,0,0,1,168
starcoder2-3b,train,clens,-1,sink_arg,22140,expires,-0.031207999739545345,164,0.11904761904761904,0,0,1,168
starcoder2-3b,train,clens,-1,sink_arg,11169,fabric,0.025376493172301423,36,0.13690476190476192,0,0,1,168
starcoder2-3b,train,clens,-1,last_token,11135, unsafe,0.0,0,0.0,1,0,0,168
starcoder2-3b,train,clens,-1,last_token,10065, safe,0.0,1,0.0,0,1,0,168
starcoder2-3b,train,clens,-1,last_token,32856, trusted,0.0,2,0.0,0,1,0,168
