base_id,split,arm,binding,site,variant,layer,rank,own_answer,installed_answer,clean_logit_diff,patched_logit_diff,delta_ld,flipped,says_installed,says_own,says_other,edit_fraction,edit_norm,state_norm,effective_rank,degenerate,gates_required,gate_override,gate_override_reason
base_0294,calib,ab,source,use,whole_state,6,4096,7,5,-2.5,0.7500000596046448,3.2500000596046448,1,1,0,0,0.7893561574087953,32.53725876935019,41.219997416831006,4096,False,"H0,H1,H2,H3",False,
base_0294,calib,ab,target,use,das_binding,6,1,5,7,-3.625,4.25,7.875,1,1,0,0,0.4389565980083731,19.84243424985173,45.203635940046254,1,False,"H0,H1,H2,H3",False,
base_0294,calib,ab,target,use,whole_state,6,4096,5,7,-3.625,0.6250000596046448,4.250000059604645,1,1,0,0,0.7197929567547281,32.53725876935019,45.203635940046254,4096,False,"H0,H1,H2,H3",False,
base_0294,calib,ba,source,use,das_binding,6,1,5,7,-2.375,5.75,8.125,1,1,0,0,0.47617385655078853,19.524088482833246,41.00201683531699,1,False,"H0,H1,H2,H3",False,
base_0294,calib,ba,source,use,whole_state,6,4096,5,7,-2.375,1.9999998807907104,4.3749998807907104,1,1,0,0,0.7927940010941549,32.50615297980085,41.00201683531699,4096,False,"H0,H1,H2,H3",False,
base_0294,calib,ba,target,use,das_binding,6,1,7,5,-3.875,4.125,8.0,1,1,0,0,0.43874739441881305,19.524088482833246,44.49961123688458,1,False,"H0,H1,H2,H3",False,
base_0294,calib,ba,target,use,whole_state,6,4096,7,5,-3.875,0.75,4.625,1,1,0,0,0.7304817295315457,32.50615297980085,44.49961123688458,4096,False,"H0,H1,H2,H3",False,
base_0305,calib,ab,source,use,das_binding,6,1,2,4,-3.25,4.75,8.0,1,1,0,0,0.4120886565591344,19.73515235149466,47.89054985468322,1,False,"H0,H1,H2,H3",False,
base_0305,calib,ab,source,use,whole_state,6,4096,2,4,-3.25,2.375,5.625,1,1,0,0,0.8174779326805238,39.14946769014,47.89054985468322,4096,False,"H0,H1,H2,H3",False,
base_0305,calib,ab,target,use,das_binding,6,1,4,2,-3.375,5.0,8.375,1,1,0,0,0.42704109004740626,19.73515235149466,46.21370826236848,1,False,"H0,H1,H2,H3",False,
base_0305,calib,ab,target,use,whole_state,6,4096,4,2,-3.375,1.75,5.125,1,1,0,0,0.8471397159448284,39.14946769014,46.21370826236848,4096,False,"H0,H1,H2,H3",False,
base_0305,calib,ba,source,use,das_binding,6,1,4,2,-2.625,5.375,8.0,1,1,0,0,0.4173520616010643,19.979549427045885,47.87217139984755,1,False,"H0,H1,H2,H3",False,
base_0305,calib,ba,source,use,whole_state,6,4096,4,2,-2.625,1.875,4.5,1,1,0,0,0.8206942199090737,39.288414362351354,47.87217139984755,4096,False,"H0,H1,H2,H3",False,
base_0305,calib,ba,target,use,das_binding,6,1,2,4,-4.375,4.625,9.0,1,1,0,0,0.43225418533612314,19.979549427045885,46.22176049379298,1,False,"H0,H1,H2,H3",False,
base_0305,calib,ba,target,use,whole_state,6,4096,2,4,-4.375,0.5,4.875,1,1,0,0,0.8499982247025687,39.288414362351354,46.22176049379298,4096,False,"H0,H1,H2,H3",False,
base_0318,calib,ab,source,use,das_binding,6,1,2,3,-3.0,5.25,8.25,1,1,0,0,0.4482936675982725,19.15699045544207,42.73312750116547,1,False,"H0,H1,H2,H3",False,
base_0318,calib,ab,source,use,whole_state,6,4096,2,3,-3.0,-0.5,2.5,0,0,1,0,0.7370970218438023,31.498461015180553,42.73312750116547,4096,False,"H0,H1,H2,H3",False,
base_0318,calib,ab,target,use,das_binding,6,1,3,2,-3.5,4.625,8.125,1,1,0,0,0.4232207773413128,19.15699045544207,45.26476836932943,1,False,"H0,H1,H2,H3",False,
base_0318,calib,ab,target,use,whole_state,6,4096,3,2,-3.5,1.5,5.0,1,1,0,0,0.6958714724479476,31.498461015180553,45.26476836932943,4096,False,"H0,H1,H2,H3",False,
base_0318,calib,ba,source,use,das_binding,6,1,3,2,-1.625,4.75,6.375,1,1,0,0,0.4626647985560156,19.653525633804133,42.478973319654116,1,False,"H0,H1,H2,H3",False,
base_0318,calib,ba,source,use,whole_state,6,4096,3,2,-1.625,0.5,2.125,1,1,0,0,0.7611410016688733,32.33248830238688,42.478973319654116,4096,False,"H0,H1,H2,H3",False,
base_0318,calib,ba,target,use,das_binding,6,1,2,3,-3.625,4.375,8.0,1,1,0,0,0.4338633256917761,19.653525633804133,45.298886700016524,1,False,"H0,H1,H2,H3",False,
base_0318,calib,ba,target,use,whole_state,6,4096,2,3,-3.625,0.125,3.75,1,1,0,0,0.7137590050833431,32.33248830238688,45.298886700016524,4096,False,"H0,H1,H2,H3",False,
base_0320,calib,ab,source,use,das_binding,6,1,3,6,-3.125,4.75,7.875,1,1,0,0,0.39962837138821833,17.98330286809374,45.0000654498674,1,False,"H0,H1,H2,H3",False,
base_0320,calib,ab,source,use,whole_state,6,4096,3,6,-3.125,0.6250000596046448,3.7500000596046448,1,1,0,0,0.6690925959665259,30.10921061051535,45.0000654498674,4096,False,"H0,H1,H2,H3",False,
base_0320,calib,ab,target,use,das_binding,6,1,6,3,-3.375,4.625,8.0,1,1,0,0,0.38859783312716456,17.98330286809374,46.27741416717806,1,False,"H0,H1,H2,H3",False,
base_0320,calib,ab,target,use,whole_state,6,4096,6,3,-3.375,1.25,4.625,1,1,0,0,0.6506243089068297,30.10921061051535,46.27741416717806,4096,False,"H0,H1,H2,H3",False,
base_0320,calib,ba,source,use,das_binding,6,1,6,3,-2.875,5.0,7.875,1,1,0,0,0.40335413514885654,18.57285610923523,46.04602876422967,1,False,"H0,H1,H2,H3",False,
base_0320,calib,ba,source,use,whole_state,6,4096,6,3,-2.875,0.8750000596046448,3.7500000596046448,1,1,0,0,0.6690478485482925,30.80699647890065,46.04602876422967,4096,False,"H0,H1,H2,H3",False,
base_0320,calib,ba,target,use,das_binding,6,1,3,6,-4.375,5.0,9.375,1,1,0,0,0.39404343324698954,18.57285610923523,47.134032804941114,1,False,"H0,H1,H2,H3",False,
base_0320,calib,ba,target,use,whole_state,6,4096,3,6,-4.375,0.6249999403953552,4.999999940395355,1,1,0,0,0.653604087016953,30.80699647890065,47.134032804941114,4096,False,"H0,H1,H2,H3",False,
base_0322,calib,ab,source,use,das_binding,6,1,6,3,-2.75,5.25,8.0,1,1,0,0,0.44431716217746225,18.776662872602436,42.25959398143382,1,False,"H0,H1,H2,H3",False,
base_0322,calib,ab,source,use,whole_state,6,4096,6,3,-2.75,2.0,4.75,1,1,0,0,0.7800231013888205,32.96345956083034,42.25959398143382,4096,False,"H0,H1,H2,H3",False,
base_0322,calib,ab,target,use,das_binding,6,1,3,6,-4.125,4.875,9.0,1,1,0,0,0.41559407366148327,18.776662872602436,45.18029505853041,1,False,"H0,H1,H2,H3",False,
