lens,layer,read,family,concept,n_bases,binding_delta_ab,binding_delta_ab_lo,binding_delta_ab_hi,binding_delta_ba,binding_delta_ba_lo,binding_delta_ba_hi,value_delta,value_delta_lo,value_delta_hi,crossed_agreement
logit-lens,2,use,generic_code,total,56,0.19953264508928573,0.07393101283482142,0.30997488839285703,0.20131138392857142,0.07766898018973215,0.3088405064174107,-0.0017787388392857143,-0.014788818359374999,0.011615862165178561,True
logit-lens,2,use,positional,earlier,56,-1.2078683035714286,-1.2783203125,-1.1319719587053572,-1.1982421875,-1.2714913504464285,-1.1215053013392857,-0.009626116071428572,-0.023158482142857144,0.00390625,True
logit-lens,2,use,positional,kept,56,-1.5590122767857142,-1.6542340959821427,-1.4710083007812502,-1.5528738839285714,-1.6485621861049107,-1.4653948102678573,-0.006138392857142857,-0.017473493303571428,0.005719866071428571,True
logit-lens,2,use,positional,later,56,-0.21628243582589285,-0.3365818568638393,-0.09964773995535718,-0.22042410714285715,-0.33988146100725447,-0.11010131835937513,0.004141671316964286,-0.022664315359933036,0.03318590436662946,True
logit-lens,2,use,positional,replaced,56,-0.0888671875,-0.23242710658482144,0.041033063616071334,-0.09333147321428571,-0.23954380580357143,0.03936418805803559,0.004464285714285714,-0.006487165178571429,0.015626743861607135,True
logit-lens,2,use,random_concepts,random_0,56,-0.7808641706194196,-0.9446727207728794,-0.6363688332693919,-0.7740227835518974,-0.9366534096854074,-0.6316210883004326,-0.006841387067522321,-0.01813016619001116,0.004911177498953682,True
logit-lens,2,use,random_concepts,random_1,56,-1.5887767246791296,-1.669800785609654,-1.5096888405936104,-1.5924857003348214,-1.6766682761056084,-1.5122192927769251,0.0037089756556919645,-0.008415303911481585,0.015216009957449771,True
logit-lens,2,use,random_concepts,random_2,56,0.12374612263270787,0.03608509983335223,0.2053988831383841,0.13086155482700892,0.04174107142857143,0.20984486171177452,-0.00711543219430106,-0.02154562473297119,0.0073115042277744745,True
logit-lens,3,answer,binding_concept,active,56,0.10407366071428571,0.07128557477678571,0.1375627790178571,0.11537388392857142,0.08286481584821428,0.14662388392857142,-0.011300223214285714,-0.0234375,0.0015345982142857143,True
logit-lens,3,answer,binding_concept,binding,56,-0.1123046875,-0.13449009486607144,-0.0910958426339286,-0.11160714285714286,-0.13365652901785716,-0.08900669642857142,-0.0006975446428571429,-0.017163085937500003,0.015066964285714286,True
logit-lens,3,answer,binding_concept,bound,56,-0.06417410714285714,-0.0895717075892857,-0.0382184709821429,-0.0634765625,-0.09110281808035715,-0.03571428571428571,-0.0006975446428571429,-0.017438616071428572,0.016043526785714284,True
logit-lens,3,answer,binding_concept,definition,56,0.14564732142857142,0.11160714285714286,0.1796875,0.14620535714285715,0.10993303571428571,0.18304966517857135,-0.0005580357142857143,-0.016741071428571428,0.015066964285714286,True
logit-lens,3,answer,binding_concept,global,56,0.10770089285714286,0.07867606026785715,0.134765625,0.10909598214285714,0.07952008928571429,0.13672572544642853,-0.0013950892857142857,-0.01367885044642857,0.010602678571428572,True
