model,base_id,split,arm,layer,readout,family,pair_index,inner_word,outer_word,m_source,m_target,delta,reversal,n_seeds
deepseek-coder-6.7b,base_0019,test,ab,8,jlens,scope,1,inner,outer,-0.019604401662945747,-0.016328394412994385,0.0032760072499513626,1.0,1
deepseek-coder-6.7b,base_0019,test,ab,8,jlens,scope,2,inside,outside,0.12865972518920898,0.15481096506118774,0.02615123987197876,1.0,1
deepseek-coder-6.7b,base_0019,test,ab,8,jlens,scope,3,nested,module,-0.14883197844028473,-0.00524543970823288,0.14358654618263245,1.0,1
deepseek-coder-6.7b,base_0019,test,ab,8,jlens,positional,4,later,earlier,0.02141421288251877,-0.003316447138786316,-0.024730660021305084,0.0,1
deepseek-coder-6.7b,base_0019,test,ab,8,jlens,positional,5,second,first,-0.3323986828327179,-0.3514099419116974,-0.019011259078979492,0.0,1
deepseek-coder-6.7b,base_0019,test,ab,8,jlens,positional,6,new,original,0.005947533994913101,0.03441713750362396,0.02846960350871086,1.0,1
deepseek-coder-6.7b,base_0019,test,ab,8,jlens,action,7,replaced,kept,0.12748894095420837,0.07825376838445663,-0.04923517256975174,0.0,1
deepseek-coder-6.7b,base_0019,test,ab,8,jlens,action,8,changed,unchanged,0.04285624623298645,-0.03722374886274338,-0.08007999509572983,0.0,1
deepseek-coder-6.7b,base_0020,test,ab,8,jlens,scope,0,local,global,0.013880908489227295,-0.04629965126514435,-0.06018055975437164,0.0,1
deepseek-coder-6.7b,base_0020,test,ab,8,jlens,scope,1,inner,outer,-0.0301656574010849,0.0015949774533510208,0.03176063299179077,1.0,1
deepseek-coder-6.7b,base_0020,test,ab,8,jlens,scope,2,inside,outside,0.19713443517684937,0.22004255652427673,0.022908121347427368,1.0,1
deepseek-coder-6.7b,base_0020,test,ab,8,jlens,scope,3,nested,module,-0.15534889698028564,-0.04247676581144333,0.11287213116884232,1.0,1
deepseek-coder-6.7b,base_0020,test,ab,8,jlens,positional,4,later,earlier,0.07774437963962555,0.011108830571174622,-0.06663554906845093,0.0,1
