model,item_id,family,pair_id,arm,read,layer,direction,edit,clean_logit_diff,ablated_logit_diff,delta_logit_diff,edit_norm_ratio
starcoder2-3b,defuse-0-use,defuse,,,use,26,offtarget_j,erase,1.625,1.625,0.0,0.024095419460126007
starcoder2-3b,defuse-0-use,defuse,,,use,26,offtarget_r,erase,1.625,1.625,0.0,0.024484757011306937
starcoder2-3b,defuse-0-use,defuse,,,use,26,random,erase,1.625,1.5,-0.125,0.0035427341665110993
starcoder2-3b,defuse-0-use,defuse,,,use,26,random_matched,erase,1.625,1.625,0.0,0.012992539014241026
starcoder2-3b,defuse-0-post_use,defuse,,,post_use,24,jlens,erase,1.625,1.5,-0.125,0.0051204514176602
starcoder2-3b,defuse-0-post_use,defuse,,,post_use,24,rlens,erase,1.625,1.5,-0.125,0.00894273966059483
starcoder2-3b,defuse-0-post_use,defuse,,,post_use,24,logit,erase,1.625,1.5,-0.125,0.01141898195290634
starcoder2-3b,defuse-0-post_use,defuse,,,post_use,24,offtarget_j,erase,1.625,1.5,-0.125,0.0003166502751163505
starcoder2-3b,defuse-0-post_use,defuse,,,post_use,24,offtarget_r,erase,1.625,1.625,0.0,0.008567206036443458
starcoder2-3b,defuse-0-post_use,defuse,,,post_use,24,random,erase,1.625,1.625,0.0,0.00020507313269845791
starcoder2-3b,defuse-0-post_use,defuse,,,post_use,24,random_matched,erase,1.625,1.5,-0.125,0.0051204514176602
starcoder2-3b,defuse-0-post_use,defuse,,,post_use,25,jlens,erase,1.625,1.625,0.0,0.009243134550028943
starcoder2-3b,defuse-0-post_use,defuse,,,post_use,25,rlens,erase,1.625,1.625,0.0,0.012006692711265763
starcoder2-3b,defuse-0-post_use,defuse,,,post_use,25,logit,erase,1.625,1.625,0.0,0.007715223776622768
starcoder2-3b,defuse-0-post_use,defuse,,,post_use,25,offtarget_j,erase,1.625,1.625,0.0,0.005859088499720181
starcoder2-3b,defuse-0-post_use,defuse,,,post_use,25,offtarget_r,erase,1.625,1.625,0.0,0.007242325458527553
starcoder2-3b,defuse-0-post_use,defuse,,,post_use,25,random,erase,1.625,1.625,0.0,0.024853410127432266
starcoder2-3b,defuse-0-post_use,defuse,,,post_use,25,random_matched,erase,1.625,1.625,0.0,0.009243133814469815
starcoder2-3b,defuse-0-post_use,defuse,,,post_use,26,jlens,erase,1.625,1.5,-0.125,0.01912786350760946
starcoder2-3b,defuse-0-post_use,defuse,,,post_use,26,rlens,erase,1.625,1.5,-0.125,0.01656647727096811
starcoder2-3b,defuse-0-post_use,defuse,,,post_use,26,logit,erase,1.625,1.5,-0.125,0.009682485241946837
starcoder2-3b,defuse-0-post_use,defuse,,,post_use,26,offtarget_j,erase,1.625,1.5,-0.125,0.022594683317212226
starcoder2-3b,defuse-0-post_use,defuse,,,post_use,26,offtarget_r,erase,1.625,1.5,-0.125,0.019151228167524507
starcoder2-3b,defuse-0-post_use,defuse,,,post_use,26,random,erase,1.625,1.625,0.0,0.019899755264827214
starcoder2-3b,defuse-0-post_use,defuse,,,post_use,26,random_matched,erase,1.625,1.625,0.0,0.01912786350760946
starcoder2-3b,defuse-0-call,defuse,,,call,24,jlens,erase,1.625,1.5,-0.125,0.005075653051638129
starcoder2-3b,defuse-0-call,defuse,,,call,24,rlens,erase,1.625,1.5,-0.125,0.01307542403376355
starcoder2-3b,defuse-0-call,defuse,,,call,24,logit,erase,1.625,1.5,-0.125,0.0033783959993231665
starcoder2-3b,defuse-0-call,defuse,,,call,24,offtarget_j,erase,1.625,1.5,-0.125,0.012988756681616075
starcoder2-3b,defuse-0-call,defuse,,,call,24,offtarget_r,erase,1.625,1.5,-0.125,0.014503437290311373
starcoder2-3b,defuse-0-call,defuse,,,call,24,random,erase,1.625,1.5,-0.125,0.009475013823781978
starcoder2-3b,defuse-0-call,defuse,,,call,24,random_matched,erase,1.625,1.5,-0.125,0.005075653051638129
