model,contrast,layer,target_condition,position,role_to,mean_delta,median_delta,sign_consistency,n
deepseek-coder-6.7b,flip_ab,7,bound,6,signature,0.00565325901722185,0.0054632460514823945,0.975,400
deepseek-coder-6.7b,flip_ab,7,bound,7,other,0.0015292540766925233,0.0015316183980884869,0.8275,400
deepseek-coder-6.7b,flip_ab,7,bound,8,other,0.00017105888149498933,0.0002254485572704494,0.55,400
deepseek-coder-6.7b,flip_ab,7,bound,9,inner_def_name,0.008070306443333154,0.008095153622865954,0.94,400
deepseek-coder-6.7b,flip_ab,7,bound,10,other,0.012338773907393748,0.012671383409820202,0.9925,400
deepseek-coder-6.7b,flip_ab,7,bound,11,inner_def_value,0.07391644236806293,0.07509404858124051,1.0,400
deepseek-coder-6.7b,flip_ab,7,bound,12,other,0.0040324470451059205,0.003577315146329388,0.965,400
deepseek-coder-6.7b,flip_ab,7,bound,13,other,0.0021785584435897987,0.00209765984255003,0.9825,400
deepseek-coder-6.7b,flip_ab,7,bound,14,return_kw,-0.00047992405929322556,-0.0005929103541230211,0.455,400
deepseek-coder-6.7b,flip_ab,7,bound,15,use_site,-0.027899063532396583,-0.027908933769609883,0.0,400
deepseek-coder-6.7b,flip_ab,7,bound,16,suffix,-0.005837960903176021,-0.005628878952645529,0.0,400
deepseek-coder-6.7b,flip_ab,7,bound,17,suffix,0.0011569418118822562,0.0009856282681720632,0.645,400
deepseek-coder-6.7b,flip_ab,7,bound,18,suffix,0.004822148841791635,0.004774722126381965,0.9925,400
deepseek-coder-6.7b,flip_ab,7,bound,19,suffix,0.005993479129628006,0.006074519103836546,0.955,400
deepseek-coder-6.7b,flip_ab,7,bound,20,suffix,-0.0002203355702738425,-0.00011931832514280871,0.4825,400
deepseek-coder-6.7b,flip_ab,7,fixed_a,0,outer_def_name,-0.0017719344456207581,-0.0018108198368543549,0.3725,400
deepseek-coder-6.7b,flip_ab,7,fixed_a,1,other,0.0003357837878960037,4.561436679200413e-05,0.5075,400
deepseek-coder-6.7b,flip_ab,7,fixed_a,2,outer_def_value,-0.03424018179322411,-0.033728771484993994,0.0,400
deepseek-coder-6.7b,flip_ab,7,fixed_a,3,other,0.012747640225565515,0.012769625675990756,0.995,400
