example_id,layer,lens,stratum,positive_name,negative_name,distance_gap,margin,correct
synthetic_control_545178,-1,logit,indent_matched,i,n,1,0.2533605098724365,True
synthetic_control_545178,-1,random,indent_matched,i,n,1,-0.629284679889679,False
synthetic_control_545178,-1,jlens,indent_matched,m,t,1,0.1530592441558838,True
synthetic_control_545178,-1,logit,indent_matched,m,t,1,-0.06695213913917542,False
synthetic_control_545178,-1,random,indent_matched,m,t,1,2.2844035625457764,True
synthetic_control_545178,-1,jlens,indent_matched,m,z,-22,0.12680816650390625,True
synthetic_control_545178,-1,logit,indent_matched,m,z,-22,-0.2500210404396057,False
synthetic_control_545178,-1,random,indent_matched,m,z,-22,-0.8589170575141907,False
synthetic_control_545178,-1,jlens,indent_matched,m,o,-29,-0.04733848571777344,False
synthetic_control_545178,-1,logit,indent_matched,m,o,-29,0.10471448302268982,True
synthetic_control_545178,-1,random,indent_matched,m,o,-29,1.65658700466156,True
synthetic_control_545178,-1,jlens,indent_matched,m,v,15,0.05421602725982666,True
synthetic_control_545178,-1,logit,indent_matched,m,v,15,0.07222920656204224,True
synthetic_control_545178,-1,random,indent_matched,m,v,15,-0.5581230521202087,False
synthetic_control_545178,-1,jlens,indent_matched,b,t,-42,0.14936912059783936,True
synthetic_control_545178,-1,logit,indent_matched,b,t,-42,0.19608914852142334,True
