model,item_id,family,pair_id,arm,layer,direction,edit,clean_logit_diff,ablated_logit_diff,delta_logit_diff,edit_norm_ratio
starcoder2-3b,binding-1-inner,binding,binding-1,inner,16,jlens,erase,-0.125,-0.125,0.0,0.0039952486887776814
starcoder2-3b,binding-1-inner,binding,binding-1,inner,16,rlens,erase,-0.125,-0.0625,0.0625,0.010517621154769674
starcoder2-3b,binding-1-inner,binding,binding-1,inner,16,logit,erase,-0.125,-0.125,0.0,0.012762545709794092
starcoder2-3b,binding-1-inner,binding,binding-1,inner,16,offtarget,erase,-0.125,-0.125,0.0,0.005700979061021388
starcoder2-3b,binding-1-inner,binding,binding-1,inner,16,random,erase,-0.125,-0.125,0.0,0.009106764559000937
starcoder2-3b,binding-1-inner,binding,binding-1,inner,20,jlens,erase,-0.125,0.0,0.125,0.014055496700247694
starcoder2-3b,binding-1-inner,binding,binding-1,inner,20,rlens,erase,-0.125,-0.0625,0.0625,0.014639837851830399
starcoder2-3b,binding-1-inner,binding,binding-1,inner,20,logit,erase,-0.125,-0.125,0.0,0.0010110365386697725
starcoder2-3b,binding-1-inner,binding,binding-1,inner,20,offtarget,erase,-0.125,-0.1875,-0.0625,0.010903066859202469
starcoder2-3b,binding-1-inner,binding,binding-1,inner,20,random,erase,-0.125,-0.125,0.0,0.0036264962640182885
starcoder2-3b,defuse-1,defuse,,,12,jlens,erase,1.09375,1.125,0.03125,0.00535460692267959
starcoder2-3b,defuse-1,defuse,,,12,rlens,erase,1.09375,1.125,0.03125,0.06279596442841746
starcoder2-3b,defuse-1,defuse,,,12,logit,erase,1.09375,1.125,0.03125,0.0007243123461237951
starcoder2-3b,defuse-1,defuse,,,12,offtarget,erase,1.09375,1.09375,0.0,0.003261207136712447
starcoder2-3b,defuse-1,defuse,,,12,random,erase,1.09375,1.09375,0.0,0.02079899558400753
starcoder2-3b,defuse-1,defuse,,,16,jlens,erase,1.09375,1.125,0.03125,0.0026836074322734503
starcoder2-3b,defuse-1,defuse,,,16,rlens,erase,1.09375,1.125,0.03125,0.000571639269534085
starcoder2-3b,defuse-1,defuse,,,16,logit,erase,1.09375,1.09375,0.0,0.005917373238901928
starcoder2-3b,defuse-1,defuse,,,16,offtarget,erase,1.09375,1.09375,0.0,0.0011378750059334605
starcoder2-3b,defuse-1,defuse,,,16,random,erase,1.09375,1.09375,0.0,0.006000174888578037
starcoder2-3b,defuse-1,defuse,,,20,jlens,erase,1.09375,1.34375,0.25,0.028911791857962735
starcoder2-3b,defuse-1,defuse,,,20,rlens,erase,1.09375,1.25,0.15625,0.02811937687972657
starcoder2-3b,defuse-1,defuse,,,20,logit,erase,1.09375,1.15625,0.0625,0.006261613625973665
starcoder2-3b,defuse-1,defuse,,,20,offtarget,erase,1.09375,0.890625,-0.203125,0.02624348501460709
starcoder2-3b,defuse-1,defuse,,,20,random,erase,1.09375,1.125,0.03125,0.008245007228189242
starcoder2-3b,alias-1,alias,,,12,jlens,erase,-1.03125,-0.90625,0.125,0.00737839780642949
starcoder2-3b,alias-1,alias,,,12,rlens,erase,-1.03125,-0.78125,0.25,0.03761225582692096
starcoder2-3b,alias-1,alias,,,12,logit,erase,-1.03125,-0.9375,0.09375,0.012523567336038599
starcoder2-3b,alias-1,alias,,,12,offtarget,erase,-1.03125,-0.90625,0.125,0.02797344986462303
