split,position,site_kind,site,variant,n_families,min_family_delta,max_family_delta,all_families_positive,all_families_ci_positive,delta_affine,ci_lo_affine,delta_index,ci_lo_index,delta_modulus,ci_lo_modulus,delta_mul_sub,ci_lo_mul_sub,delta_threshold,ci_lo_threshold
calib,answer,single,L8,logit_value,5,-0.0017361177338494195,0.0013786764705882354,False,False,0.0013020883003870647,-0.0021701272990968493,-0.0017361177338494195,-0.005208336727486717,0.0013786764705882354,-0.004595588322948007,3.973642985026042e-09,-0.004687492152055104,-4.13921144273546e-09,-0.0034722288449605307
calib,answer,single,L8,noop_same_value,5,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
calib,answer,single,L8,probe_basis,5,-0.026041676600774128,0.0026041984558105467,False,False,-0.026041676600774128,-0.048611121086610684,0.0008680489328172472,-0.00651042006082005,-0.015625010518466726,-0.038154891922193415,0.0026041984558105467,-0.003645817438761393,-0.0026041666666666665,-0.006944444444444444
calib,answer,single,L8,whole_state,5,-0.005642360283268822,0.029079859455426533,False,False,0.029079859455426533,0.008246537463532553,0.01519096228811476,-0.0013020901216400994,0.028033081222982967,0.004584080024677166,0.009895829359690349,-0.00625002384185791,-0.005642360283268822,-0.01563585702743795
calib,use,band,L16+24+31,cf_push_0.03,5,-0.0030381944444444445,0.004136022399453556,False,False,0.003038187821706136,-0.0008680456628402074,-0.0030381944444444445,-0.006944454461336136,0.004136022399453556,-5.303060307222252e-09,-0.0005208134651184082,-0.004166642924149831,-0.0004340269499354892,-0.00390625
calib,use,band,L16+24+31,cf_push_0.1,5,-0.001736111111111111,0.015165432411081651,False,False,0.007812493377261692,-0.00043402123782369827,-0.001736111111111111,-0.005208339956071641,0.015165432411081651,0.004595588191467173,0.0005208492279052734,-0.003645829459031423,0.000868054727713267,-0.0017361102832688226
calib,use,band,L16+24+31,cf_push_0.3,5,1.3245476616753471e-08,0.0533088182701784,True,False,0.03472221725516849,0.010850715513030688,1.3245476616753471e-08,-0.011718740065892538,0.0533088182701784,0.01792278877075981,0.00156250794728597,-0.008333325386047363,0.0013020816776487562,-0.002170138888888889
calib,use,band,L16+24+31,cf_push_1,5,0.0013020700878567165,0.18382352765868692,True,False,0.1671006894773907,0.10243056002590392,0.0013020700878567165,-0.02995878689818912,0.18382352765868692,0.06571690803941559,0.02031252384185791,-0.009895801742871602,0.00303819692797131,-0.0030381928094559245
calib,use,band,L16+24+31,gram_random,5,-0.001302093267440796,0.0026041658388243783,False,False,0.0008680439657635159,-0.0043402745491928525,-0.001302093267440796,-0.003472238779067993,0.001838235294117647,-0.0018382370471954346,0.0005208611488342285,-0.002083297570546468,0.0026041658388243783,-0.0004340269499354892
calib,use,band,L16+24+31,jlens_answer,5,-0.00130209657880995,0.006433823529411764,False,False,0.000868045621448093,-0.002170158757103814,-0.00130209657880995,-0.003906259934107463,0.006433823529411764,0.003216908258550307,0.0010416785875956218,-0.001562488079071045,0.00043402860562006634,-0.002170136405362023
calib,use,band,L16+24+31,jlens_offvalue,5,-0.0010416507720947266,0.0021701380610466003,False,False,0.0004340294334623549,-0.002170122332043118,-0.00043404102325439453,-0.0030382275581359863,0.0013786764705882354,-0.0018382265287287096,-0.0010416507720947266,-0.0041796942551930736,0.0021701380610466003,-0.0008680563833978442
