model,program_id,base_id,member,condition,condition_kind,condition_order,layer,target_token,target,score,rho,n_tokens,frac_source_expr,frac_trusted_expr,frac_sink_arg,frac_sink_call,frac_taint_chain,frac_trust_chain,frac_signature,frac_other,ntok_source_expr,ntok_trusted_expr,ntok_sink_arg,ntok_sink_call,ntok_taint_chain,ntok_trust_chain,ntok_signature,ntok_other
deepseek-coder-1.3b,command_exec_branch_merge_07_safe,command_exec_branch_merge_07,safe,clean_heldout,clean,-1,11,5723, safe,-236.45736694335938,1.0000000503595663,103,0.007226646566524511,0.021393225146093754,0.004594744752756596,0.0038430699736577145,0.018419730731418185,0.023187732061733753,0.04229406610424825,0.8790408350231336,15,10,3,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_07_safe,command_exec_branch_merge_07,safe,clean_heldout,clean,-1,15,24281, vulnerable,-234.0421142578125,0.9999999470435444,103,-0.013792073706888144,0.0047097712090521104,0.010322663371116815,0.025470398846597492,0.01404491405724555,0.024542334177393085,-0.0033807151648461084,0.9380826542538737,15,10,3,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_07_safe,command_exec_branch_merge_07,safe,clean_heldout,clean,-1,15,5723, safe,-236.45736694335938,1.0000000944488032,103,-0.014111506624573205,0.005354863428171059,0.010029192585876008,0.025920168356285342,0.01355948479970358,0.02236273380929657,-0.00688767647567478,0.9437728345697187,15,10,3,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_07_safe,command_exec_branch_merge_07,safe,clean_heldout,clean,-1,19,24281, vulnerable,-234.0421142578125,1.00000004491828,103,-0.0395468151027629,-0.0059366391531015025,0.011906048594964046,-0.016785223191798655,0.01984033475397902,0.024409061449598594,-0.026541997348740895,1.032655274916142,15,10,3,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_07_safe,command_exec_branch_merge_07,safe,clean_heldout,clean,-1,19,5723, safe,-236.45736694335938,1.0000000940864475,103,-0.041307904391895384,-0.006003181755365093,0.011063282930322195,-0.0175773498738745,0.019899653457368032,0.02271982946837046,-0.030730737084800605,1.0419365013363224,15,10,3,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_07_safe,command_exec_branch_merge_07,safe,clean_heldout,clean,-1,23,24281, vulnerable,-234.0421142578125,1.0,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15,10,3,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_07_safe,command_exec_branch_merge_07,safe,clean_heldout,clean,-1,23,5723, safe,-236.45736694335938,1.0,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15,10,3,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_11_unsafe,command_exec_branch_merge_11,unsafe,clean_heldout,clean,-1,0,24281, vulnerable,-203.606689453125,0.9999998036144906,104,0.021550446103889016,0.027730095140688756,0.014800960730785236,-0.02718568175798726,0.03281792740679852,0.0859352589711903,0.19584928483895764,0.6485015121801684,15,10,4,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_11_unsafe,command_exec_branch_merge_11,unsafe,clean_heldout,clean,-1,0,5723, safe,-202.90855407714844,1.0000002129696683,104,0.017680863789494045,0.028941089267414424,0.015380974066510174,-0.024169200256654005,0.025148651451531934,0.08212410888790753,0.18742033876900074,0.6674733869944638,15,10,4,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_11_unsafe,command_exec_branch_merge_11,unsafe,clean_heldout,clean,-1,3,24281, vulnerable,-203.606689453125,0.9999998657036718,104,0.012153613915743433,0.03315515998688938,0.0017991705801977962,-0.03464165479331971,0.044436661707535796,0.0946596858559963,0.16088961538903987,0.687547613061589,15,10,4,10,11,11,5,38
