model,split,layer,question,arm,statistic,is_primary,n,n_bases,mean,median,sd,cohens_d,ci_lo,ci_hi,sign_consistency,n_nonzero,sign_test_p,permutation_p,permutation_effect_size
deepseek-coder-6.7b,test,11,scope/direct,ab,delta_contrast_z,0,280,280,0.015390403793202924,0.01571647768450163,0.011305820450074305,1.3612814621606495,0.014150321389867163,0.016715973871298594,0.9321428571428572,280,1.5304331278130719e-55,0.0,12.823372229812865
deepseek-coder-6.7b,test,11,scope/direct,ab,delta_prob_control,0,280,280,2.166377585278084e-06,2.160596687608011e-06,2.56498616154538e-06,0.8445962078691535,1.8842163475388123e-06,2.482608115034805e-06,0.7821428571428571,280,4.520633432533593e-22,0.0,10.251529124513642
deepseek-coder-6.7b,test,11,scope/direct,ab,delta_prob_mechanism,0,280,280,9.288878155067713e-08,-3.7880640824735106e-09,1.4581082651042773e-06,0.06370499624322076,-7.143162308466357e-08,2.5645721817320164e-07,0.5,280,1.0,0.27,1.0777855487893573
deepseek-coder-6.7b,test,11,scope/direct,ab,delta_z_control,0,280,280,-0.00437240582518053,-0.0046653446803548455,0.007422817849212271,-0.589049322508236,-0.0052109455913746045,-0.003542716578858801,0.21785714285714286,280,4.520633432533593e-22,0.0,-8.58033279209788
deepseek-coder-6.7b,test,11,scope/direct,ab,delta_z_family_action,0,280,280,0.028290880291469093,0.025762139031173525,0.021751169402108278,1.3006601975490542,0.025852309024776227,0.03081520901753109,0.9107142857142857,280,3.679853575465583e-49,0.0,13.047232873720915
deepseek-coder-6.7b,test,11,scope/direct,ab,delta_z_family_ordinal,0,280,280,0.026863981448514096,0.027859350922996386,0.022086756028619856,1.2162936654755432,0.024347029658703594,0.029517497630546355,0.8821428571428571,280,1.0944860488598138e-41,0.0,12.249556892315466
deepseek-coder-6.7b,test,11,scope/direct,ab,delta_z_family_scope,0,280,280,0.018316632472992797,0.01701877329486211,0.015829919386141644,1.157089434645394,0.016561743679648362,0.020208674451954088,0.8964285714285715,280,2.7179544069769582e-45,0.0,12.49297865277963
deepseek-coder-6.7b,test,11,scope/direct,ab,delta_z_family_shadowing,0,280,280,-0.056536196888422326,-0.054624685121748694,0.030264669145477974,-1.8680593075926535,-0.05987807730857143,-0.05311155357613765,0.04285714285714286,280,4.112709438190326e-64,0.0,-14.639287480372042
deepseek-coder-6.7b,test,11,scope/direct,ab,delta_z_mechanism,0,280,280,-0.01569320332904409,-0.015999775761184505,0.011514317365847813,-1.3629295450541528,-0.017056133814960118,-0.014363473401407709,0.08571428571428572,280,3.576786044016677e-50,0.0,-13.211852949426557
deepseek-coder-6.7b,test,11,scope/direct,ba,delta_contrast_prob,1,280,280,3.414052273613437e-06,3.2653746182967725e-06,2.142793451124072e-06,1.5932717508645013,3.1725612984491184e-06,3.6655724348923325e-06,0.9607142857142857,280,1.8273007278829818e-65,0.0,14.342842707738797
deepseek-coder-6.7b,test,11,scope/direct,ba,delta_contrast_z,0,280,280,0.015596865581002399,0.01557009668665435,0.011435129489550775,1.3639430664300345,0.014353641428957873,0.01691722429330744,0.9142857142857143,280,3.576786044016677e-50,0.0,12.768485414244466
deepseek-coder-6.7b,test,11,scope/direct,ba,delta_prob_control,0,280,280,2.199925735805136e-06,2.162218405200608e-06,2.509992080733195e-06,0.8764672019054796,1.9194207384353756e-06,2.5053144187418767e-06,0.7892857142857143,280,3.350562947442157e-23,0.0,10.486121302961937
deepseek-coder-6.7b,test,11,scope/direct,ba,delta_prob_mechanism,0,280,280,1.3423623793342313e-07,2.0928635947154162e-07,1.414401832574805e-06,0.09490671946391417,-2.288565958430479e-08,2.9147555185989707e-07,0.5607142857142857,280,0.048401127548287404,0.092,1.628822339443573
deepseek-coder-6.7b,test,11,scope/direct,ba,delta_z_control,0,280,280,-0.004480779949915424,-0.004794159112315413,0.007305935066894197,-0.6133068401085905,-0.005315332167483573,-0.0036460749799978437,0.21428571428571427,280,1.2436691253675543e-22,0.0,-8.788673284933779
deepseek-coder-6.7b,test,11,scope/direct,ba,delta_z_family_action,0,280,280,0.028329297381168066,0.028786509582210837,0.02147328897992512,1.319280777511655,0.02591971169689965,0.0308374730028821,0.9035714285714286,280,3.4278305521589987e-47,0.0,12.981908007307613
deepseek-coder-6.7b,test,11,scope/direct,ba,delta_z_family_ordinal,0,280,280,0.02688526176614169,0.027433150570752317,0.021824749785386486,1.2318703321008355,0.024504756504835898,0.02947660511849134,0.8785714285714286,280,7.993074660900972e-41,0.0,12.401678346627154
