model,lens,basis,arm,layer,site,condition,n_candidates,n,sv1_share,sv1_floor,mean_pairwise_cosine,resultant_length,mean_norm,dropped_zero_norm
deepseek-coder-6.7b,clens,frozen_pool,same_label_safe,11,sink_arg,clean_heldout,196,72,0.271083920814297,0.013888888888888888,-0.01324098581847132,0.028841041091293422,9.77081154497064,0
deepseek-coder-6.7b,clens,frozen_pool,main,11,last_token,clean_heldout,196,72,0.2549563807569071,0.013888888888888888,0.1095900907735041,0.34922327394994246,3.2093383200447434,0
deepseek-coder-6.7b,clens,frozen_pool,same_label_unsafe,11,last_token,clean_heldout,196,72,0.2605923466209342,0.013888888888888888,-0.013770524000030916,0.017596083843747237,6.537530482431462,0
deepseek-coder-6.7b,clens,frozen_pool,same_label_safe,11,last_token,clean_heldout,196,72,0.2538418602099517,0.013888888888888888,-0.01350496392719764,0.023905938699924585,6.814013514695158,0
deepseek-coder-6.7b,clens,frozen_pool,main,15,sink_arg,clean_heldout,196,72,0.44842723196271117,0.013888888888888888,0.42559255344364294,0.6584606553514147,8.872645065591156,0
deepseek-coder-6.7b,clens,frozen_pool,same_label_unsafe,15,sink_arg,clean_heldout,196,72,0.2143016581026861,0.013888888888888888,-0.013540005944282474,0.023171935239022404,9.297271000754385,0
deepseek-coder-6.7b,clens,frozen_pool,same_label_safe,15,sink_arg,clean_heldout,196,72,0.21420395859854124,0.013888888888888888,-0.013580882681767003,0.02228518740558362,9.98170113346969,0
deepseek-coder-6.7b,clens,frozen_pool,main,15,last_token,clean_heldout,196,72,0.2108907840778803,0.013888888888888888,0.17738041476198552,0.43451776347944643,5.619301854721054,0
deepseek-coder-6.7b,clens,frozen_pool,same_label_unsafe,15,last_token,clean_heldout,196,72,0.20968708977753714,0.013888888888888888,-0.013813667378761328,0.016342521271188515,8.060911712076804,0
deepseek-coder-6.7b,clens,frozen_pool,same_label_safe,15,last_token,clean_heldout,196,72,0.19359593695340546,0.013888888888888888,-0.013712015662831542,0.0191655390751503,8.540121796036026,0
deepseek-coder-6.7b,clens,frozen_pool,main,19,sink_arg,clean_heldout,196,72,0.4779568125629868,0.013888888888888888,0.4540450773524442,0.6794319573080427,8.844165120206261,0
deepseek-coder-6.7b,clens,frozen_pool,same_label_unsafe,19,sink_arg,clean_heldout,196,72,0.18776416717257363,0.013888888888888888,-0.013777579991394284,0.017397246194523326,9.591788346914143,0
deepseek-coder-6.7b,clens,frozen_pool,same_label_safe,19,sink_arg,clean_heldout,196,72,0.20232000704562564,0.013888888888888888,-0.013794512414325766,0.016910556607104697,10.049016242151728,0
deepseek-coder-6.7b,clens,frozen_pool,main,19,last_token,clean_heldout,196,72,0.19304769215131076,0.013888888888888888,0.12746548325347007,0.3736094460908115,7.16900599750135,0
deepseek-coder-6.7b,clens,frozen_pool,same_label_unsafe,19,last_token,clean_heldout,196,72,0.25327629659110334,0.013888888888888888,-0.013707523277904712,0.01928076447480367,11.294186030583948,0
deepseek-coder-6.7b,clens,frozen_pool,same_label_safe,19,last_token,clean_heldout,196,72,0.2510137508704719,0.013888888888888888,-0.013494584720111754,0.024119057953337762,11.406459197190404,0
deepseek-coder-6.7b,clens,frozen_pool,main,23,sink_arg,clean_heldout,196,72,0.4616503645902718,0.013888888888888888,0.4317663824858951,0.6630675049061595,8.212783536042771,0
deepseek-coder-6.7b,clens,frozen_pool,same_label_unsafe,23,sink_arg,clean_heldout,196,72,0.18775265764754137,0.013888888888888888,-0.01373245427141245,0.018632314644826956,9.494993853383862,0
deepseek-coder-6.7b,clens,frozen_pool,same_label_safe,23,sink_arg,clean_heldout,196,72,0.22259222942947363,0.013888888888888888,-0.013772637540857413,0.01753676083384215,9.698933418171485,0
deepseek-coder-6.7b,clens,frozen_pool,main,23,last_token,clean_heldout,196,72,0.18387700402042773,0.013888888888888888,0.10193395345848519,0.33824117578110446,6.579693328385162,0
deepseek-coder-6.7b,clens,frozen_pool,same_label_unsafe,23,last_token,clean_heldout,196,72,0.2297705658455279,0.013888888888888888,-0.013752527212647851,0.018093341279015473,10.378918422678876,0
deepseek-coder-6.7b,clens,frozen_pool,same_label_safe,23,last_token,clean_heldout,196,72,0.21485032936835283,0.013888888888888888,-0.013815408190859087,0.016289916124624066,10.452109668539915,0
deepseek-coder-6.7b,clens,frozen_pool,main,27,sink_arg,clean_heldout,196,72,0.40289357926276487,0.013888888888888888,0.37385332419110645,0.618506108134401,7.743796011975866,0
