task,layer,filler_type,filler_target,filler_tokens_mean,accuracy,n
defuse_edge,3,competing_update,200,200.0,0.9234449760765551,1463
defuse_edge,3,competing_update,500,500.0,0.9234449760765551,1463
defuse_edge,3,competing_update,1000,1003.0,0.9000740192450037,1351
defuse_edge,3,dead_code,0,0.0,1.0,1463
defuse_edge,3,dead_code,50,50.0,0.950546590317543,1921
defuse_edge,3,dead_code,100,100.0,0.9244463742943986,2303
defuse_edge,3,dead_code,200,200.0,0.9157688540646425,3063
defuse_edge,3,dead_code,500,511.0,0.9005825972561549,5321
defuse_edge,3,dead_code,1000,1004.0,0.8433665864006421,8721
defuse_edge,3,lexical_decoy,0,0.0,1.0,1463
defuse_edge,3,lexical_decoy,50,72.0,0.9645286686103013,2058
defuse_edge,3,lexical_decoy,100,120.0,0.9648324369052544,2417
defuse_edge,3,lexical_decoy,200,216.0,0.9457439896036387,3078
defuse_edge,3,lexical_decoy,500,520.0,0.9123418301852192,5453
defuse_edge,3,lexical_decoy,1000,1024.0,0.8949026668166985,8887
defuse_edge,3,scope_shadow,0,0.0,1.0,1462
defuse_edge,3,scope_shadow,50,60.0,0.6712564543889845,3486
defuse_edge,3,scope_shadow,100,105.0,0.5328695652173913,5750
defuse_edge,3,scope_shadow,200,201.0,0.38825682234067943,12569
defuse_edge,3,scope_shadow,500,507.0,0.21584130947426827,50463
defuse_edge,3,scope_shadow,1000,1000.0,0.12120370314453255,165589
defuse_edge,7,comment_prose,0,0.0,1.0,1463
defuse_edge,7,comment_prose,50,56.0,0.9854972375690608,1448
defuse_edge,7,comment_prose,100,112.0,0.9875690607734806,1448
defuse_edge,7,comment_prose,200,224.0,0.9765193370165746,1448
defuse_edge,7,comment_prose,500,512.0,0.9779005524861878,1448
defuse_edge,7,comment_prose,1000,1005.0,0.9577854671280277,1445
defuse_edge,7,competing_update,0,0.0,1.0,1463
defuse_edge,7,competing_update,50,50.0,0.9150943396226415,1378
defuse_edge,7,competing_update,100,104.0,0.9104579630895421,1463
defuse_edge,7,competing_update,200,200.0,0.8947368421052632,1463
defuse_edge,7,competing_update,500,500.0,0.8940533151059467,1463
defuse_edge,7,competing_update,1000,1003.0,0.8786084381939304,1351
defuse_edge,7,dead_code,0,0.0,1.0,1463
defuse_edge,7,dead_code,50,50.0,0.9916710046850599,1921
defuse_edge,7,dead_code,100,100.0,0.9704732957012592,2303
defuse_edge,7,dead_code,200,200.0,0.9451518119490695,3063
defuse_edge,7,dead_code,500,511.0,0.9197519263296373,5321
defuse_edge,7,dead_code,1000,1004.0,0.9104460497649353,8721
defuse_edge,7,lexical_decoy,0,0.0,1.0,1463
defuse_edge,7,lexical_decoy,50,72.0,0.9173955296404276,2058
defuse_edge,7,lexical_decoy,100,120.0,0.9247000413736036,2417
defuse_edge,7,lexical_decoy,200,216.0,0.8927875243664717,3078
defuse_edge,7,lexical_decoy,500,520.0,0.9075738125802311,5453
defuse_edge,7,lexical_decoy,1000,1024.0,0.8676718802745583,8887
defuse_edge,7,scope_shadow,0,0.0,1.0,1462
defuse_edge,7,scope_shadow,50,60.0,0.7544463568559954,3486
defuse_edge,7,scope_shadow,100,105.0,0.6483478260869565,5750
defuse_edge,7,scope_shadow,200,201.0,0.510860052510144,12569
