model,condition,condition_kind,condition_order,layer,target_token,target,ast_role,token_identical,n_pairs,mean_delta_frac,sign_consistency,n_nonzero,degenerate,median_delta_frac,sign_test_p,permutation_p,permutation_effect_size,mean_frac_unsafe,mean_frac_safe,token_count_matched_frac,median_abs_rho_minus_one
deepseek-coder-6.7b,clean_heldout,clean,-1,11,24281, vulnerable,signature,1,72,0.003102412218127807,0.5833333333333334,72,0,0.002028203048893836,0.1945051658673991,0.028,2.3299829471802838,0.15978205687059038,0.15667964465246254,1.0,1.2274366134601422e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,11,24281, vulnerable,sink_arg,0,72,0.008639172975962874,0.7222222222222222,72,0,0.008099198736183366,0.00020771603022674048,0.0,4.342485441838943,0.017306008037596576,0.008666835061633705,0.6111111111111112,1.2274366134601422e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,11,24281, vulnerable,sink_call,1,72,-0.0034662715428643884,0.5138888888888888,72,0,0.001007108067777783,0.906294324703081,0.158,-1.4356744424072578,0.07945044824982272,0.0829167197926871,1.0,1.2274366134601422e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,11,24281, vulnerable,source_expr,1,72,-0.00814253724277699,0.2222222222222222,72,0,-0.007397187898895867,2.397319809534421e-06,0.0,-5.143838424153355,0.06950999334576308,0.07765253058854006,1.0,1.2274366134601422e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,11,24281, vulnerable,taint_chain,1,72,-0.009533288327698113,0.2222222222222222,72,0,-0.006009246598826849,2.397319809534421e-06,0.0,-5.3863309642961985,0.021926161970583127,0.03145945029828125,1.0,1.2274366134601422e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,11,24281, vulnerable,trust_chain,1,72,0.007271011917698923,0.8333333333333334,72,0,0.0070117609400027255,8.055498526741105e-09,0.0,5.757891000447852,0.03351979973303609,0.026248787815337172,1.0,1.2274366134601422e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,11,24281, vulnerable,trusted_expr,1,72,-0.0019441585261733177,0.5277777777777778,72,0,0.0006668117219662383,0.7239481457469141,0.138,-1.4717105209367816,0.04595732136496097,0.04790147989113428,1.0,1.2274366134601422e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,15,5723, safe,other,0,72,0.018931473890373918,0.6111111111111112,72,0,0.018346739398251655,0.07636915467183139,0.002,2.788376405841425,0.5248251814591011,0.5058937075687272,1.0,3.2815276029829477e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,15,5723, safe,signature,1,72,0.0021029713808761296,0.5277777777777778,72,0,0.0019951501655439685,0.7239481457469141,0.326,0.9696063759498911,0.12411854317994485,0.12201557179906874,1.0,3.2815276029829477e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,15,5723, safe,sink_arg,0,72,0.008593625505046876,0.5972222222222222,72,0,0.007609946962789215,0.12491820036864004,0.004,2.559028177521473,0.03842066854006235,0.029827043035015464,0.6111111111111112,3.2815276029829477e-07
