lens,layer,relative_depth,site,condition,sign_consistency_z,permutation_p,displacement,control_displacement,specificity,beats_random_lens
clens,23,0.7419,sink_arg,flatten_only,0.5555555555555556,0.398,0.05555555555555558,0.09722222222222221,0.5714285714285717,False
clens,23,0.7419,sink_arg,normalize,0.3055555555555556,0.0,0.19444444444444442,0.36111111111111116,0.5384615384615383,False
clens,23,0.7419,sink_arg,opaque_only,0.5,0.89,0.0,0.3055555555555556,0.0,False
clens,23,0.7419,sink_arg,rename_cumulative,0.3611111111111111,0.046,0.1388888888888889,0.19444444444444442,0.7142857142857144,False
clens,23,0.7419,sink_arg,rename_only,0.4444444444444444,0.178,0.05555555555555558,0.2222222222222222,0.2500000000000001,False
clens,23,0.7419,sink_arg,rename_opaque,0.5555555555555556,0.832,0.05555555555555558,0.20833333333333337,0.2666666666666667,False
clens,23,0.7419,sink_arg,rename_opaque_encode,0.4722222222222222,0.634,0.02777777777777779,0.08333333333333337,0.3333333333333333,False
clens,23,0.7419,sink_arg,rename_opaque_encode_flatten,0.4305555555555556,0.032,0.06944444444444442,0.04166666666666663,1.6666666666666676,True
clens,27,0.871,sink_arg,clean_heldout,0.3333333333333333,0.0,0.16666666666666669,0.26388888888888884,0.6315789473684212,False
clens,27,0.871,sink_arg,encode_only,0.4166666666666667,0.004,0.08333333333333331,0.19444444444444442,0.42857142857142855,False
clens,27,0.871,sink_arg,flatten_only,0.6111111111111112,0.76,0.11111111111111116,0.04166666666666663,2.66666666666667,True
clens,27,0.871,sink_arg,normalize,0.3472222222222222,0.0,0.1527777777777778,0.25,0.6111111111111112,False
clens,27,0.871,sink_arg,opaque_only,0.4444444444444444,0.132,0.05555555555555558,0.1527777777777778,0.36363636363636376,False
clens,27,0.871,sink_arg,rename_cumulative,0.3888888888888889,0.022,0.1111111111111111,0.1388888888888889,0.7999999999999999,False
clens,27,0.871,sink_arg,rename_only,0.375,0.2,0.125,0.125,1.0,False
clens,27,0.871,sink_arg,rename_opaque,0.4444444444444444,0.242,0.05555555555555558,0.2222222222222222,0.2500000000000001,False
clens,27,0.871,sink_arg,rename_opaque_encode,0.4305555555555556,0.06,0.06944444444444442,0.1388888888888889,0.4999999999999998,False
clens,27,0.871,sink_arg,rename_opaque_encode_flatten,0.375,0.032,0.125,0.06944444444444442,1.8000000000000007,True
clens,31,1.0,sink_arg,clean_heldout,0.2638888888888889,0.0,0.2361111111111111,0.33333333333333337,0.7083333333333333,False
clens,31,1.0,sink_arg,encode_only,0.2916666666666667,0.0,0.20833333333333331,0.3055555555555556,0.6818181818181817,False
clens,31,1.0,sink_arg,flatten_only,0.5,0.882,0.0,0.16666666666666669,0.0,False
clens,31,1.0,sink_arg,normalize,0.25,0.0,0.25,0.31944444444444453,0.7826086956521737,False
clens,31,1.0,sink_arg,opaque_only,0.4305555555555556,0.002,0.06944444444444442,0.31944444444444453,0.21739130434782594,False
clens,31,1.0,sink_arg,rename_cumulative,0.2916666666666667,0.0,0.20833333333333331,0.09722222222222221,2.142857142857143,True
clens,31,1.0,sink_arg,rename_only,0.3333333333333333,0.0,0.16666666666666669,0.18055555555555558,0.923076923076923,False
clens,31,1.0,sink_arg,rename_opaque,0.3194444444444444,0.004,0.18055555555555558,0.18055555555555558,1.0,False
clens,31,1.0,sink_arg,rename_opaque_encode,0.2638888888888889,0.0,0.2361111111111111,0.3055555555555556,0.7727272727272726,False
clens,31,1.0,sink_arg,rename_opaque_encode_flatten,0.375,0.008,0.125,0.09722222222222221,1.2857142857142858,True
logit,-1,,last_token,clean_heldout,0.0,1.0,0.5,0.5,1.0,False
logit,-1,,last_token,encode_only,0.0,1.0,0.5,0.5,1.0,False
logit,-1,,last_token,flatten_only,0.0,1.0,0.5,0.5,1.0,False
logit,-1,,last_token,normalize,0.0,1.0,0.5,0.5,1.0,False
logit,-1,,last_token,opaque_only,0.0,1.0,0.5,0.5,1.0,False
logit,-1,,last_token,rename_cumulative,0.0,1.0,0.5,0.5,1.0,False
logit,-1,,last_token,rename_only,0.0,1.0,0.5,0.5,1.0,False
logit,-1,,last_token,rename_opaque,0.0,1.0,0.5,0.5,1.0,False
logit,-1,,last_token,rename_opaque_encode,0.0,1.0,0.5,0.5,1.0,False
logit,-1,,last_token,rename_opaque_encode_flatten,0.0,1.0,0.5,0.5,1.0,False
logit,0,0.0,last_token,clean_heldout,0.4722222222222222,0.38,0.02777777777777779,0.1111111111111111,0.2500000000000001,False
logit,0,0.0,last_token,encode_only,0.4583333333333333,0.226,0.041666666666666685,0.02777777777777779,1.5,True
logit,0,0.0,last_token,flatten_only,0.4722222222222222,0.606,0.02777777777777779,0.08333333333333337,0.3333333333333333,False
logit,0,0.0,last_token,normalize,0.4583333333333333,0.254,0.041666666666666685,0.04166666666666663,1.0000000000000013,True
logit,0,0.0,last_token,opaque_only,0.4722222222222222,0.314,0.02777777777777779,0.0,,False
logit,0,0.0,last_token,rename_cumulative,0.4861111111111111,0.514,0.013888888888888895,0.013888888888888895,1.0,False
logit,0,0.0,last_token,rename_only,0.4722222222222222,0.576,0.02777777777777779,0.04166666666666663,0.6666666666666675,False
logit,0,0.0,last_token,rename_opaque,0.4583333333333333,0.498,0.041666666666666685,0.08333333333333337,0.5,False
logit,0,0.0,last_token,rename_opaque_encode,0.5277777777777778,0.048,0.02777777777777779,0.04166666666666663,0.6666666666666675,False
logit,0,0.0,last_token,rename_opaque_encode_flatten,0.4722222222222222,0.55,0.02777777777777779,0.125,0.22222222222222232,False
logit,3,0.0968,last_token,clean_heldout,0.5138888888888888,0.892,0.01388888888888884,0.02777777777777779,0.499999999999998,False
logit,3,0.0968,last_token,encode_only,0.5277777777777778,0.42,0.02777777777777779,0.16666666666666663,0.16666666666666677,False
logit,3,0.0968,last_token,flatten_only,0.5277777777777778,0.538,0.02777777777777779,0.02777777777777779,1.0,False
logit,3,0.0968,last_token,normalize,0.5138888888888888,0.57,0.01388888888888884,0.18055555555555558,0.07692307692307664,False
logit,3,0.0968,last_token,opaque_only,0.5694444444444444,1.0,0.06944444444444442,0.18055555555555558,0.3846153846153844,False
logit,3,0.0968,last_token,rename_cumulative,0.4722222222222222,0.448,0.02777777777777779,0.06944444444444442,0.4000000000000003,False
logit,3,0.0968,last_token,rename_only,0.5138888888888888,0.86,0.01388888888888884,0.09722222222222221,0.14285714285714238,False
logit,3,0.0968,last_token,rename_opaque,0.4722222222222222,0.304,0.02777777777777779,0.08333333333333331,0.33333333333333354,False
logit,3,0.0968,last_token,rename_opaque_encode,0.5138888888888888,0.438,0.01388888888888884,0.16666666666666663,0.08333333333333305,False
logit,3,0.0968,last_token,rename_opaque_encode_flatten,0.5555555555555556,0.454,0.05555555555555558,0.05555555555555558,1.0,False
logit,7,0.2258,last_token,clean_heldout,0.6388888888888888,0.102,0.13888888888888884,0.1527777777777778,0.9090909090909087,False
logit,7,0.2258,last_token,encode_only,0.6111111111111112,0.0,0.11111111111111116,0.05555555555555558,2.0,True
logit,7,0.2258,last_token,flatten_only,0.4583333333333333,0.826,0.041666666666666685,0.04166666666666663,1.0000000000000013,True
