model,item_id,family,pair_id,arm,layer,direction,edit,clean_logit_diff,ablated_logit_diff,delta_logit_diff,edit_norm_ratio
deepseek-coder-6.7b,call-0-answer,call,,,12,offtarget,erase,12.875,12.875,0.0,0.004708781272795576
deepseek-coder-6.7b,call-0-answer,call,,,12,random,erase,12.875,12.875,0.0,0.01143325419133513
deepseek-coder-6.7b,call-0-answer,call,,,16,jlens,erase,12.875,12.8125,-0.0625,0.03703160981140245
deepseek-coder-6.7b,call-0-answer,call,,,16,rlens,erase,12.875,12.8125,-0.0625,0.06117034099730816
deepseek-coder-6.7b,call-0-answer,call,,,16,logit,erase,12.875,12.875,0.0,0.05099201372050612
deepseek-coder-6.7b,call-0-answer,call,,,16,offtarget,erase,12.875,12.9375,0.0625,0.008213519175127412
deepseek-coder-6.7b,call-0-answer,call,,,16,random,erase,12.875,12.875,0.0,0.008419012166397143
deepseek-coder-6.7b,call-0-answer,call,,,20,jlens,erase,12.875,12.875,0.0,0.08823967083563614
deepseek-coder-6.7b,call-0-answer,call,,,20,rlens,erase,12.875,12.75,-0.125,0.1099457162019436
deepseek-coder-6.7b,call-0-answer,call,,,20,logit,erase,12.875,12.5,-0.375,0.09108386650119286
deepseek-coder-6.7b,call-0-answer,call,,,20,offtarget,erase,12.875,13.0,0.125,0.014410093934572288
deepseek-coder-6.7b,call-0-answer,call,,,20,random,erase,12.875,12.875,0.0,0.005041242656444529
deepseek-coder-6.7b,arith-0-answer,arith,,,12,jlens,erase,4.75,4.75,0.0,0.03137935815190682
deepseek-coder-6.7b,arith-0-answer,arith,,,12,rlens,erase,4.75,4.875,0.125,0.044847463676560194
deepseek-coder-6.7b,arith-0-answer,arith,,,12,logit,erase,4.75,4.75,0.0,0.02951783130870312
deepseek-coder-6.7b,arith-0-answer,arith,,,12,offtarget,erase,4.75,4.75,0.0,0.03276443105081705
deepseek-coder-6.7b,arith-0-answer,arith,,,12,random,erase,4.75,4.75,0.0,0.009907255099427501
deepseek-coder-6.7b,arith-0-answer,arith,,,16,jlens,erase,4.75,4.75,0.0,0.018401204893444607
deepseek-coder-6.7b,arith-0-answer,arith,,,16,rlens,erase,4.75,4.75,0.0,0.02656471210065987
deepseek-coder-6.7b,arith-0-answer,arith,,,16,logit,erase,4.75,4.875,0.125,0.012882705083779684
deepseek-coder-6.7b,arith-0-answer,arith,,,16,offtarget,erase,4.75,4.875,0.125,0.02460047598479447
deepseek-coder-6.7b,arith-0-answer,arith,,,16,random,erase,4.75,4.75,0.0,0.003918426631939379
deepseek-coder-6.7b,arith-0-answer,arith,,,20,jlens,erase,4.75,4.75,0.0,0.038188320425837294
deepseek-coder-6.7b,arith-0-answer,arith,,,20,rlens,erase,4.75,4.75,0.0,0.04588586891598772
deepseek-coder-6.7b,arith-0-answer,arith,,,20,logit,erase,4.75,4.75,0.0,0.04140746518889001
deepseek-coder-6.7b,arith-0-answer,arith,,,20,offtarget,erase,4.75,5.0,0.25,0.06024732587060814
deepseek-coder-6.7b,arith-0-answer,arith,,,20,random,erase,4.75,4.75,0.0,0.0052083387248275876
deepseek-coder-6.7b,binding-1-outer,binding,binding-1,outer,12,jlens,erase,0.1875,0.1875,0.0,0.022791312855210417
deepseek-coder-6.7b,binding-1-outer,binding,binding-1,outer,12,rlens,erase,0.1875,0.1875,0.0,0.03543820212234325
deepseek-coder-6.7b,binding-1-outer,binding,binding-1,outer,12,logit,erase,0.1875,0.25,0.0625,0.015073733400916627
deepseek-coder-6.7b,binding-1-outer,binding,binding-1,outer,12,offtarget,erase,0.1875,0.25,0.0625,0.01819993956493977
deepseek-coder-6.7b,binding-1-outer,binding,binding-1,outer,12,random,erase,0.1875,0.1875,0.0,0.024737561673565795
deepseek-coder-6.7b,binding-1-outer,binding,binding-1,outer,16,jlens,erase,0.1875,0.1875,0.0,0.014549524105859335
deepseek-coder-6.7b,binding-1-outer,binding,binding-1,outer,16,rlens,erase,0.1875,0.1875,0.0,0.03035063566977024
deepseek-coder-6.7b,binding-1-outer,binding,binding-1,outer,16,logit,erase,0.1875,0.1875,0.0,0.015210591200398419
deepseek-coder-6.7b,binding-1-outer,binding,binding-1,outer,16,offtarget,erase,0.1875,0.25,0.0625,0.008285639015822613
deepseek-coder-6.7b,binding-1-outer,binding,binding-1,outer,16,random,erase,0.1875,0.1875,0.0,0.017961085278081157
deepseek-coder-6.7b,binding-1-outer,binding,binding-1,outer,20,jlens,erase,0.1875,0.125,-0.0625,0.026264864020269722
deepseek-coder-6.7b,binding-1-outer,binding,binding-1,outer,20,rlens,erase,0.1875,0.125,-0.0625,0.038296036725905556
deepseek-coder-6.7b,binding-1-outer,binding,binding-1,outer,20,logit,erase,0.1875,0.1875,0.0,0.027101904241379825
deepseek-coder-6.7b,binding-1-outer,binding,binding-1,outer,20,offtarget,erase,0.1875,0.375,0.1875,0.0124434748239593
deepseek-coder-6.7b,binding-1-outer,binding,binding-1,outer,20,random,erase,0.1875,0.25,0.0625,0.021133504932899984
deepseek-coder-6.7b,binding-1-inner,binding,binding-1,inner,12,jlens,erase,0.0,-0.0625,-0.0625,0.03280082534463164
deepseek-coder-6.7b,binding-1-inner,binding,binding-1,inner,12,rlens,erase,0.0,-0.0625,-0.0625,0.04794641724440038
deepseek-coder-6.7b,binding-1-inner,binding,binding-1,inner,12,logit,erase,0.0,0.0,0.0,0.010578801049569583
deepseek-coder-6.7b,binding-1-inner,binding,binding-1,inner,12,offtarget,erase,0.0,0.0625,0.0625,0.0467037867200041
deepseek-coder-6.7b,binding-1-inner,binding,binding-1,inner,12,random,erase,0.0,0.0,0.0,0.032809923101087095
deepseek-coder-6.7b,binding-1-inner,binding,binding-1,inner,16,jlens,erase,0.0,-0.0625,-0.0625,0.01904222955927292
deepseek-coder-6.7b,binding-1-inner,binding,binding-1,inner,16,rlens,erase,0.0,-0.125,-0.125,0.03772494316186497
deepseek-coder-6.7b,binding-1-inner,binding,binding-1,inner,16,logit,erase,0.0,-0.0625,-0.0625,0.02098774935518853
deepseek-coder-6.7b,binding-1-inner,binding,binding-1,inner,16,offtarget,erase,0.0,0.125,0.125,0.028175085755827885
deepseek-coder-6.7b,binding-1-inner,binding,binding-1,inner,16,random,erase,0.0,0.0625,0.0625,0.02512022282136287
deepseek-coder-6.7b,binding-1-inner,binding,binding-1,inner,20,jlens,erase,0.0,-0.25,-0.25,0.031734413344382456
deepseek-coder-6.7b,binding-1-inner,binding,binding-1,inner,20,rlens,erase,0.0,-0.375,-0.375,0.04687072303719432
deepseek-coder-6.7b,binding-1-inner,binding,binding-1,inner,20,logit,erase,0.0,-0.3125,-0.3125,0.03759252669568418
deepseek-coder-6.7b,binding-1-inner,binding,binding-1,inner,20,offtarget,erase,0.0,0.1875,0.1875,0.03966506430356589
deepseek-coder-6.7b,binding-1-inner,binding,binding-1,inner,20,random,erase,0.0,0.0625,0.0625,0.02902221251533023
deepseek-coder-6.7b,defuse-1,defuse,,,12,jlens,erase,2.125,2.0,-0.125,0.06560675698811994
deepseek-coder-6.7b,defuse-1,defuse,,,12,rlens,erase,2.125,1.9375,-0.1875,0.07233188336189338
deepseek-coder-6.7b,defuse-1,defuse,,,12,logit,erase,2.125,2.0625,-0.0625,0.008583497282124241
deepseek-coder-6.7b,defuse-1,defuse,,,12,offtarget,erase,2.125,2.125,0.0,0.04193932228102578
deepseek-coder-6.7b,defuse-1,defuse,,,12,random,erase,2.125,2.0625,-0.0625,0.007888981290267515
deepseek-coder-6.7b,defuse-1,defuse,,,16,jlens,erase,2.125,1.875,-0.25,0.05804209755977941
deepseek-coder-6.7b,defuse-1,defuse,,,16,rlens,erase,2.125,1.875,-0.25,0.06289984025600624
deepseek-coder-6.7b,defuse-1,defuse,,,16,logit,erase,2.125,2.0,-0.125,0.030369199491160685
deepseek-coder-6.7b,defuse-1,defuse,,,16,offtarget,erase,2.125,2.1875,0.0625,0.031987043910048404
deepseek-coder-6.7b,defuse-1,defuse,,,16,random,erase,2.125,2.0625,-0.0625,0.011862575902693125
deepseek-coder-6.7b,defuse-1,defuse,,,20,jlens,erase,2.125,1.8125,-0.3125,0.031473967729205736
deepseek-coder-6.7b,defuse-1,defuse,,,20,rlens,erase,2.125,1.75,-0.375,0.04469300359967293
deepseek-coder-6.7b,defuse-1,defuse,,,20,logit,erase,2.125,1.875,-0.25,0.02758054619900752
deepseek-coder-6.7b,defuse-1,defuse,,,20,offtarget,erase,2.125,2.1875,0.0625,0.012347970233522755
deepseek-coder-6.7b,defuse-1,defuse,,,20,random,erase,2.125,2.0625,-0.0625,0.015001508862669346
deepseek-coder-6.7b,alias-1,alias,,,12,jlens,erase,-0.8125,-1.0,-0.1875,0.04159397461936092
deepseek-coder-6.7b,alias-1,alias,,,12,rlens,erase,-0.8125,-1.0625,-0.25,0.049180131988211306
deepseek-coder-6.7b,alias-1,alias,,,12,logit,erase,-0.8125,-0.8125,0.0,0.005657791942941848
deepseek-coder-6.7b,alias-1,alias,,,12,offtarget,erase,-0.8125,-0.8125,0.0,0.00865674484095224
deepseek-coder-6.7b,alias-1,alias,,,12,random,erase,-0.8125,-0.875,-0.0625,0.005272022111593452
