task,layer,filler_type,filler_target,filler_tokens_mean,accuracy,n
defuse_edge,3,scope_shadow,500,519.0,0.21174656148867313,39552
defuse_edge,3,scope_shadow,1000,1019.0,0.12069787775216596,125810
defuse_edge,7,comment_prose,0,0.0,1.0,1410
defuse_edge,7,comment_prose,50,57.0,0.9737226277372263,1370
defuse_edge,7,comment_prose,100,115.0,0.9584245076586433,1371
defuse_edge,7,comment_prose,200,202.0,0.956268221574344,1372
defuse_edge,7,comment_prose,500,529.0,0.9519300801165331,1373
defuse_edge,7,comment_prose,1000,1009.0,0.9313868613138686,1370
defuse_edge,7,competing_update,0,0.0,1.0,1413
defuse_edge,7,competing_update,50,55.0,0.9200581395348837,1376
defuse_edge,7,competing_update,100,103.0,0.9120639534883721,1376
defuse_edge,7,competing_update,200,205.0,0.906318082788671,1377
defuse_edge,7,competing_update,500,505.0,0.8958485069191552,1373
defuse_edge,7,competing_update,1000,1002.0,0.911825017088175,1463
defuse_edge,7,dead_code,0,0.0,1.0,1410
defuse_edge,7,dead_code,50,51.0,0.9646017699115044,1921
defuse_edge,7,dead_code,100,103.0,0.9487289961223611,2321
defuse_edge,7,dead_code,200,207.0,0.9090035245113746,3121
defuse_edge,7,dead_code,500,529.0,0.9242623566998684,5321
defuse_edge,7,dead_code,1000,1009.0,0.9468372256777373,8521
defuse_edge,7,lexical_decoy,0,0.0,1.0,1414
defuse_edge,7,lexical_decoy,50,71.0,0.9364928909952607,2110
defuse_edge,7,lexical_decoy,100,119.0,0.9497991967871486,2490
defuse_edge,7,lexical_decoy,200,215.0,0.9438727782974743,3207
defuse_edge,7,lexical_decoy,500,519.0,0.9635132593567801,5317
defuse_edge,7,lexical_decoy,1000,1023.0,0.9458522591441549,8366
defuse_edge,7,scope_shadow,0,0.0,1.0,1413
defuse_edge,7,scope_shadow,50,53.0,0.7013574660633484,2873
defuse_edge,7,scope_shadow,100,107.0,0.5957873620862588,4985
defuse_edge,7,scope_shadow,200,219.0,0.49247954965256396,11369
defuse_edge,7,scope_shadow,500,519.0,0.30949130258899676,39552
defuse_edge,7,scope_shadow,1000,1019.0,0.19608139257610682,125810
defuse_edge,11,comment_prose,0,0.0,1.0,1410
defuse_edge,11,comment_prose,50,57.0,0.9722627737226277,1370
defuse_edge,11,comment_prose,100,115.0,0.9686360320933625,1371
defuse_edge,11,comment_prose,200,202.0,0.9693877551020408,1372
defuse_edge,11,comment_prose,500,529.0,0.9599417334304443,1373
defuse_edge,11,comment_prose,1000,1009.0,0.9562043795620438,1370
defuse_edge,11,competing_update,0,0.0,1.0,1413
defuse_edge,11,competing_update,50,55.0,0.8997093023255814,1376
