layer,arm,example,rho,abs_error
7,no_identity,2,0.5578224062919617,0.44217759370803833
7,no_identity,3,0.546507716178894,0.45349228382110596
7,no_identity,4,0.5760337710380554,0.4239662289619446
7,no_identity,5,0.5659838318824768,0.4340161681175232
7,no_identity,6,0.5794897675514221,0.4205102324485779
7,no_identity,7,0.5825004577636719,0.4174995422363281
7,no_identity,8,0.5583853125572205,0.44161468744277954
7,no_identity,9,0.5381597876548767,0.4618402123451233
7,no_half,0,8.445188522338867,7.445188522338867
7,no_half,1,7.71915340423584,6.71915340423584
7,no_half,2,7.564291477203369,6.564291477203369
7,no_half,3,7.040209770202637,6.040209770202637
7,no_half,4,7.838649749755859,6.838649749755859
7,no_half,5,6.5395307540893555,5.5395307540893555
7,no_half,6,6.014486789703369,5.014486789703369
7,no_half,7,6.439169883728027,5.439169883728027
7,no_half,8,5.661104679107666,4.661104679107666
7,no_half,9,6.113379001617432,5.113379001617432
7,none,0,0.13697300851345062,0.8630269914865494
7,none,1,0.13940833508968353,0.8605916649103165
7,none,2,0.106537364423275,0.893462635576725
7,none,3,0.14595985412597656,0.8540401458740234
7,none,4,0.08982494473457336,0.9101750552654266
7,none,5,0.1506911665201187,0.8493088334798813
7,none,6,0.1328042894601822,0.8671957105398178
7,none,7,0.06781143695116043,0.9321885630488396
7,none,8,0.08981553465127945,0.9101844653487206
7,none,9,0.1555170714855194,0.8444829285144806
11,all,0,1.0000519752502441,5.1975250244140625e-05
11,all,1,0.9998710751533508,0.00012892484664916992
11,all,2,0.9998691082000732,0.0001308917999267578
11,all,3,1.0002055168151855,0.00020551681518554688
11,all,4,0.9998561143875122,0.00014388561248779297
11,all,5,0.9999468326568604,5.316734313964844e-05
11,all,6,0.9999040961265564,9.590387344360352e-05
11,all,7,1.0002366304397583,0.00023663043975830078
11,all,8,0.9997382164001465,0.0002617835998535156
11,all,9,0.9999924898147583,7.510185241699219e-06
11,no_attn,0,1.2154102325439453,0.2154102325439453
11,no_attn,1,1.5555452108383179,0.5555452108383179
11,no_attn,2,1.4839781522750854,0.48397815227508545
11,no_attn,3,1.4046870470046997,0.4046870470046997
11,no_attn,4,1.4117131233215332,0.4117131233215332
11,no_attn,5,1.421433448791504,0.4214334487915039
11,no_attn,6,1.377105712890625,0.377105712890625
11,no_attn,7,1.3314933776855469,0.3314933776855469
11,no_attn,8,1.1466670036315918,0.1466670036315918
11,no_attn,9,0.9812166690826416,0.0187833309173584
11,no_ln,0,-0.006233626045286655,1.0062336260452867
11,no_ln,1,-0.013850140385329723,1.0138501403853297
11,no_ln,2,-0.01204979233443737,1.0120497923344374
11,no_ln,3,0.011305552907288074,0.9886944470927119
11,no_ln,4,-0.006034536752849817,1.0060345367528498
11,no_ln,5,0.01941429264843464,0.9805857073515654
11,no_ln,6,0.03384742885828018,0.9661525711417198
11,no_ln,7,0.013719707727432251,0.9862802922725677
11,no_ln,8,0.02491561509668827,0.9750843849033117
11,no_ln,9,0.05419493094086647,0.9458050690591335
11,no_identity,0,0.7002900838851929,0.29970991611480713
11,no_identity,1,0.5904843807220459,0.4095156192779541
11,no_identity,2,0.5800037980079651,0.4199962019920349
11,no_identity,3,0.5664392709732056,0.43356072902679443
11,no_identity,4,0.5997693538665771,0.40023064613342285
11,no_identity,5,0.583649218082428,0.416350781917572
11,no_identity,6,0.600502073764801,0.399497926235199
11,no_identity,7,0.6032771468162537,0.39672285318374634
11,no_identity,8,0.5791143774986267,0.4208856225013733
11,no_identity,9,0.5590533018112183,0.44094669818878174
11,no_half,0,7.267823696136475,6.267823696136475
11,no_half,1,6.832683086395264,5.832683086395264
11,no_half,2,6.743957996368408,5.743957996368408
11,no_half,3,6.1085381507873535,5.1085381507873535
11,no_half,4,6.813255310058594,5.813255310058594
11,no_half,5,5.710160732269287,4.710160732269287
11,no_half,6,5.121743202209473,4.121743202209473
11,no_half,7,5.3633599281311035,4.3633599281311035
11,no_half,8,4.7511796951293945,3.7511796951293945
11,no_half,9,5.160542964935303,4.160542964935303
11,none,0,0.1016692966222763,0.8983307033777237
11,none,1,0.015872860327363014,0.984127139672637
11,none,2,0.1428363174200058,0.8571636825799942
11,none,3,0.18818819522857666,0.8118118047714233
