model,item_id,family,pair_id,arm,layer,direction,edit,clean_logit_diff,ablated_logit_diff,delta_logit_diff,edit_norm_ratio
deepseek-coder-6.7b,defuse-1,defuse,,,29,logit,erase,2.125,1.5625,-0.5625,0.037604023201979885
deepseek-coder-6.7b,defuse-1,defuse,,,29,offtarget,erase,2.125,2.4375,0.3125,0.021073813995973016
deepseek-coder-6.7b,defuse-1,defuse,,,29,random,erase,2.125,2.0625,-0.0625,0.011990046987171816
deepseek-coder-6.7b,defuse-1,defuse,,,30,jlens,erase,2.125,1.25,-0.875,0.0649600832906884
deepseek-coder-6.7b,defuse-1,defuse,,,30,rlens,erase,2.125,1.25,-0.875,0.0649600832906884
deepseek-coder-6.7b,defuse-1,defuse,,,30,logit,erase,2.125,1.25,-0.875,0.0649600832906884
deepseek-coder-6.7b,defuse-1,defuse,,,30,offtarget,erase,2.125,2.75,0.625,0.04104456452366886
deepseek-coder-6.7b,defuse-1,defuse,,,30,random,erase,2.125,2.0625,-0.0625,0.007280313990980531
deepseek-coder-6.7b,alias-1,alias,,,28,jlens,erase,-0.8125,-1.8125,-1.0,0.018619220610045215
deepseek-coder-6.7b,alias-1,alias,,,28,rlens,erase,-0.8125,-1.6875,-0.875,0.01630158623122251
deepseek-coder-6.7b,alias-1,alias,,,28,logit,erase,-0.8125,-1.5,-0.6875,0.015245792091712463
deepseek-coder-6.7b,alias-1,alias,,,28,offtarget,erase,-0.8125,0.5,1.3125,0.034403466190591314
