split,subset,layer,position,lens,accuracy,accuracy_ci_lo,accuracy_ci_hi,n_rows,n_bases,mean_bound_rank,reversal_rate,reversal_ci_lo,reversal_ci_hi,paired_gap,paired_gap_ci_lo,paired_gap_ci_hi,n_pairs
calib,both_correct,18,def_target,jlens,0.5,0.5,0.5,20,10,1.7,0.0,0.0,0.0,0.004669860005378723,-0.03317217610776425,0.03488937817513941,10
calib,both_correct,23,def_target,jlens,0.5,0.5,0.5,20,10,2.6,0.0,0.0,0.0,0.04720748960971832,-0.0011884197592735286,0.08947461783885954,10
calib,both_correct,6,def_target,logit,0.45,0.3,0.6,20,10,5.6,0.1,0.0,0.3,0.018961593508720398,-0.12655247375369072,0.16522806815803048,10
calib,both_correct,12,def_target,logit,0.4,0.25,0.5,20,10,4.0,0.0,0.0,0.0,-0.22553057670593263,-0.4622707825899124,0.05025081038475028,10
calib,both_correct,18,def_target,logit,0.5,0.35,0.65,20,10,3.2,0.1,0.0,0.3,0.4152986526489258,-0.5983524513244629,1.3245046830177305,10
calib,both_correct,23,def_target,logit,0.5,0.5,0.5,20,10,2.6,0.0,0.0,0.0,1.4323464393615724,-0.035315284729003894,2.7159124159812924,10
calib,both_correct,6,def_target,probe,1.0,1.0,1.0,20,10,,1.0,1.0,1.0,11.521786069869995,10.697124388217926,12.370858387947083,10
calib,both_correct,12,def_target,probe,1.0,1.0,1.0,20,10,,1.0,1.0,1.0,11.850307893753051,11.13899769306183,12.639707783460617,10
calib,both_correct,18,def_target,probe,1.0,1.0,1.0,20,10,,1.0,1.0,1.0,10.971230030059814,10.15050496816635,11.697250080108642,10
calib,both_correct,23,def_target,probe,1.0,1.0,1.0,20,10,,1.0,1.0,1.0,10.803537845611572,9.619428748488426,11.912166433334349,10
calib,both_correct,6,mutation,gram_random,0.45,0.3,0.6,20,10,5.95,0.1,0.0,0.3,-0.005627161264419556,-0.01345130831003189,0.001968549750745296,10
calib,both_correct,12,mutation,gram_random,0.55,0.35,0.75,20,10,3.35,0.3,0.0,0.6,-0.0032849937677383425,-0.03832153297960758,0.027830953001975963,10
calib,both_correct,18,mutation,gram_random,0.45,0.25,0.65,20,10,3.35,0.2,0.0,0.5,-0.02669515013694763,-0.07407689750194549,0.018075766563415516,10
calib,both_correct,23,mutation,gram_random,0.4,0.2,0.6,20,10,5.75,0.1,0.0,0.3,-0.04901173710823059,-0.1320550123602152,0.027837298605591046,10
calib,both_correct,6,mutation,jlens,0.5,0.5,0.5,20,10,5.35,0.0,0.0,0.0,-0.002059510350227356,-0.011754347905516625,0.009158564954996085,10
calib,both_correct,12,mutation,jlens,0.45,0.35,0.5,20,10,3.75,0.0,0.0,0.0,-0.014055132865905762,-0.040468064695596696,0.01150632560253139,10
calib,both_correct,18,mutation,jlens,0.45,0.35,0.5,20,10,4.0,0.0,0.0,0.0,0.04035577178001404,-0.044709002524614336,0.1359787647426128,10
calib,both_correct,23,mutation,jlens,0.5,0.35,0.65,20,10,4.1,0.1,0.0,0.3,0.06990766525268555,-0.04909243434667587,0.19582915455102895,10
calib,both_correct,6,mutation,logit,0.5,0.3,0.7,20,10,4.75,0.2,0.0,0.5,0.3444819778203964,-0.12872322268784048,0.8000892294943331,10
calib,both_correct,12,mutation,logit,0.55,0.4,0.7,20,10,3.5,0.2,0.0,0.5,-0.13654283285140992,-0.7098280012607574,0.36832567811012157,10
calib,both_correct,18,mutation,logit,0.4,0.25,0.5,20,10,4.1,0.0,0.0,0.0,0.3756633996963501,-1.127390271425247,2.077529891729353,10
calib,both_correct,23,mutation,logit,0.5,0.35,0.65,20,10,4.1,0.1,0.0,0.3,2.1213808059692383,-1.4898934841156006,5.941918730735772,10
calib,both_correct,6,mutation,probe,1.0,1.0,1.0,20,10,,1.0,1.0,1.0,13.644716691970824,13.369235394001008,13.925406075716019,10
calib,both_correct,12,mutation,probe,1.0,1.0,1.0,20,10,,1.0,1.0,1.0,13.813733434677124,13.240675520896911,14.34877512693405,10
calib,both_correct,18,mutation,probe,1.0,1.0,1.0,20,10,,1.0,1.0,1.0,12.974392509460449,12.371250650882722,13.53902487397194,10
calib,both_correct,23,mutation,probe,1.0,1.0,1.0,20,10,,1.0,1.0,1.0,14.743461227416992,13.449698897600173,15.876941236257553,10
calib,both_correct,6,pre_def,gram_random,0.5,0.5,0.5,20,10,5.65,0.0,0.0,0.0,0.0,0.0,0.0,10
calib,both_correct,12,pre_def,gram_random,0.5,0.5,0.5,20,10,5.75,0.0,0.0,0.0,0.0,0.0,0.0,10
