model,condition,condition_kind,condition_order,layer,target_token,target,ast_role,token_identical,n_pairs,mean_delta_frac,sign_consistency,permutation_p,permutation_effect_size,mean_frac_unsafe,mean_frac_safe,token_count_matched_frac,median_abs_rho_minus_one
deepseek-coder-1.3b,clean_heldout,clean,-1,3,24281, vulnerable,trust_chain,1,72,0.013045686095702102,0.8472222222222222,0.678,0.6332805441894368,0.07008712944383316,0.05704144334813107,1.0,7.920446060127873e-08
deepseek-coder-1.3b,clean_heldout,clean,-1,3,24281, vulnerable,trusted_expr,1,72,-0.03372482288314123,0.3472222222222222,0.104,-1.195610581004337,0.01570892775061227,0.049433750633753513,1.0,7.920446060127873e-08
deepseek-coder-1.3b,clean_heldout,clean,-1,7,5723, safe,other,0,72,-0.46296012700787575,0.5972222222222222,0.942,-0.7100593909390783,0.7617517146761159,1.2247118416839915,1.0,1.3089591233139686e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,7,5723, safe,signature,1,72,0.22943003245486457,0.3888888888888889,0.952,0.723047391382236,0.08970920392942058,-0.139720828525444,1.0,1.3089591233139686e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,7,5723, safe,sink_arg,0,72,0.04213421100931174,0.5833333333333334,0.818,0.9004452755769148,0.008383632393222198,-0.03375057861608955,0.6111111111111112,1.3089591233139686e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,7,5723, safe,sink_call,1,72,0.15676624121916033,0.375,0.932,0.5610945441855012,-0.017586033230616804,-0.1743522744497771,1.0,1.3089591233139686e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,7,5723, safe,source_expr,1,72,0.11044057103387094,0.4444444444444444,0.858,0.9667416893195406,0.02644896953374759,-0.08399160150012337,1.0,1.3089591233139686e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,7,5723, safe,taint_chain,1,72,-0.013970841102450548,0.3611111111111111,0.56,-0.8823386696598187,0.047107306048519294,0.06107814715096985,1.0,1.3089591233139686e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,7,5723, safe,trust_chain,1,72,-0.005301488889193622,0.7638888888888888,1.0,-0.22391323292238377,0.057764715258487205,0.06306620414768085,1.0,1.3089591233139686e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,7,5723, safe,trusted_expr,1,72,-0.05653913673131291,0.4861111111111111,0.876,-0.9059718770247588,0.026420671031035032,0.08295980776234797,1.0,1.3089591233139686e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,7,24281, vulnerable,other,0,72,-0.050434210043548075,0.625,0.94,-0.18894904331245607,0.7359852512675654,0.7864194613111134,1.0,9.947806645094204e-08
