model,lens,layer,relative_depth,prompt_style,condition,condition_kind,condition_order,n_pairs,taint_mean_delta_z,taint_sign_consistency,taint_permutation_p,taint_permutation_effect_size,taint_corr_model_delta,taint_lens_tracks_model,security_mean_delta_z,security_sign_consistency,security_permutation_p,security_permutation_effect_size,security_corr_model_delta,security_lens_tracks_model,mean_model_delta_margin,model_pair_separation
starcoder2-3b,clens,15,0.5172,sink,rename_opaque_encode_flatten,cumulative,24,72,0.0018376640264251812,0.5833333333333334,0.2,1.2623406926907175,-0.1553382474231994,0.5,0.0023320509880043654,0.625,0.054,1.9161151237522354,0.17511689306493305,0.6666666666666666,0.008843315972222222,0.6527777777777778
starcoder2-3b,clens,19,0.6552,sink,clean_heldout,clean,-1,72,0.02092840387416796,0.75,0.0,4.426471507395687,0.7139879057049997,0.7222222222222222,0.0007983866944033432,0.5138888888888888,0.772,0.3104315683740986,0.02653257766357569,0.5277777777777778,0.03857422123352686,0.9166666666666666
starcoder2-3b,clens,19,0.6552,sink,normalize,baseline,0,72,0.024920337306290816,0.7916666666666666,0.0,4.7770920592644,0.7963581632905208,0.7916666666666666,0.004354060904524068,0.5416666666666666,0.18,1.4022071913843472,-0.02463966553929273,0.5833333333333334,0.04399955686595705,0.8888888888888888
starcoder2-3b,clens,19,0.6552,sink,rename_only,atomic,11,72,0.0052675627047382954,0.5972222222222222,0.056,1.938843061963616,0.5137932052853728,0.6388888888888888,0.0006893035790581786,0.4027777777777778,0.844,0.23306454170985264,-0.209218641189499,0.4166666666666667,0.016248919069767,0.7083333333333334
starcoder2-3b,clens,19,0.6552,sink,opaque_only,atomic,12,72,0.02650792415039581,0.8194444444444444,0.0,4.99400908250736,0.610575646300029,0.7916666666666666,0.001849792355880547,0.5,0.52,0.7800495486536669,-0.026508564107974395,0.4444444444444444,0.03529188368055555,0.7638888888888888
starcoder2-3b,clens,19,0.6552,sink,encode_only,atomic,13,72,0.02119480126806664,0.7083333333333334,0.0,3.8124579982507973,0.6991783800585931,0.8194444444444444,-0.001305577914747395,0.5,0.69,-0.3979474429783167,-0.24615160245389053,0.4583333333333333,0.04142253018087811,0.8333333333333334
starcoder2-3b,clens,19,0.6552,sink,flatten_only,atomic,14,72,0.009539268633900637,0.5972222222222222,0.002,2.905777508506059,0.6397870652614368,0.7777777777777778,0.00023714857698480205,0.5138888888888888,0.88,0.13069953812432658,-0.2790066098996706,0.4305555555555556,0.017333983547157712,0.6944444444444444
starcoder2-3b,clens,19,0.6552,sink,rename_cumulative,cumulative,21,72,0.004131734994739715,0.5555555555555556,0.092,1.6128195925017736,0.4308034194515068,0.5694444444444444,0.0006140448260622837,0.5,0.806,0.20317984577028814,-0.29450354895534964,0.3472222222222222,0.017849392361111112,0.6666666666666666
starcoder2-3b,clens,19,0.6552,sink,rename_opaque,cumulative,22,72,0.009860082733086096,0.5972222222222222,0.0,3.3544492813817333,0.5183795708511055,0.5416666666666666,-0.008150926380834728,0.375,0.056,-1.5362630864847864,-0.8509430661073146,0.3333333333333333,0.01665582176711824,0.7361111111111112
starcoder2-3b,clens,19,0.6552,sink,rename_opaque_encode,cumulative,23,72,0.006950524991876563,0.5694444444444444,0.076,1.901368955315583,0.7472655968300836,0.6805555555555556,-1.9333895916360626e-05,0.5277777777777778,0.99,0.05162008613603875,0.10594853781288811,0.4305555555555556,0.014838337898254395,0.6805555555555556
starcoder2-3b,clens,19,0.6552,sink,rename_opaque_encode_flatten,cumulative,24,72,0.009878727076595725,0.7083333333333334,0.0,3.6862823667207407,0.6279689606499113,0.7638888888888888,-0.00023472698331555928,0.5,0.878,-0.18783673799350134,-0.21265329994638227,0.4583333333333333,0.008843315972222222,0.6527777777777778
starcoder2-3b,clens,23,0.7931,sink,clean_heldout,clean,-1,72,0.012994275829595694,0.75,0.0,4.428140881915956,0.7005012707298776,0.7916666666666666,-0.0032946699260206352,0.4027777777777778,0.072,-1.7267348811349803,-0.11503512398757207,0.4166666666666667,0.03857422123352686,0.9166666666666666
starcoder2-3b,clens,23,0.7931,sink,normalize,baseline,0,72,0.017472062349998985,0.7638888888888888,0.0,4.964322842853669,0.7271738841476462,0.8194444444444444,-0.0022611071877820708,0.4444444444444444,0.272,-1.0639052540416674,-0.147742439034107,0.4861111111111111,0.04399955686595705,0.8888888888888888
starcoder2-3b,clens,23,0.7931,sink,rename_only,atomic,11,72,0.0026429823420802013,0.5694444444444444,0.202,1.3226938537593735,0.587821220628231,0.6944444444444444,-0.0014423108326029363,0.375,0.382,-0.9297839762304111,-0.30823633762779973,0.4166666666666667,0.016248919069767,0.7083333333333334
starcoder2-3b,clens,23,0.7931,sink,opaque_only,atomic,12,72,0.01682984672758281,0.7777777777777778,0.0,5.031467380764546,0.5845361220056317,0.7777777777777778,-0.004604170041427985,0.3472222222222222,0.02,-2.298213209354464,-0.09320848452098004,0.4305555555555556,0.03529188368055555,0.7638888888888888
starcoder2-3b,clens,23,0.7931,sink,encode_only,atomic,13,72,0.014862194792120106,0.7638888888888888,0.0,4.59749678325244,0.5632019897921149,0.7083333333333334,-0.006289923416267932,0.3055555555555556,0.002,-3.096687579792146,-0.15174543884657263,0.3472222222222222,0.04142253018087811,0.8333333333333334
starcoder2-3b,clens,23,0.7931,sink,flatten_only,atomic,14,72,0.009667732542236233,0.5972222222222222,0.0,3.196508850084011,0.48403670481828037,0.7222222222222222,0.0006084841966860057,0.5694444444444444,0.676,0.44826076571661455,-0.23346477244448283,0.4305555555555556,0.017333983547157712,0.6944444444444444
starcoder2-3b,clens,23,0.7931,sink,rename_cumulative,cumulative,21,72,0.0013608127577311754,0.4722222222222222,0.504,0.6949039133979701,0.42139203889596105,0.5416666666666666,-0.001925025641716857,0.4027777777777778,0.208,-1.2996398898242416,-0.3666815298823807,0.3333333333333333,0.017849392361111112,0.6666666666666666
starcoder2-3b,clens,23,0.7931,sink,rename_opaque,cumulative,22,72,0.0029325040608968824,0.5694444444444444,0.088,1.7286177105563458,0.14244242840138965,0.6111111111111112,-0.005679344131605259,0.3472222222222222,0.002,-2.7580987072760403,-0.7503495373181962,0.3333333333333333,0.01665582176711824,0.7361111111111112
starcoder2-3b,clens,23,0.7931,sink,rename_opaque_encode,cumulative,23,72,0.006262074999388332,0.6111111111111112,0.036,2.1169782869136924,0.6570986232703685,0.6527777777777778,-0.0022826454772450966,0.3611111111111111,0.11,-1.5612496838309944,0.1249884618565383,0.3888888888888889,0.014838337898254395,0.6805555555555556
starcoder2-3b,clens,23,0.7931,sink,rename_opaque_encode_flatten,cumulative,24,72,0.004927308961927834,0.7222222222222222,0.022,2.434039939734434,0.6544468415451293,0.7361111111111112,-0.002827494692203102,0.4166666666666667,0.02,-2.3118138175620486,-0.22773074787216582,0.3888888888888889,0.008843315972222222,0.6527777777777778
starcoder2-3b,clens,27,0.931,sink,clean_heldout,clean,-1,72,0.013878741219352595,0.8055555555555556,0.0,5.2768008751746756,0.8108403480081584,0.7916666666666666,-0.004616192151463288,0.3472222222222222,0.012,-2.5624964619158774,-0.08635967881371168,0.3472222222222222,0.03857422123352686,0.9166666666666666
starcoder2-3b,clens,27,0.931,sink,normalize,baseline,0,72,0.016126967977451674,0.8055555555555556,0.0,5.207228060952314,0.8416193847213971,0.8055555555555556,-0.003624473885717903,0.4166666666666667,0.042,-2.0184896291168295,-0.07974858370325623,0.4583333333333333,0.04399955686595705,0.8888888888888888
starcoder2-3b,clens,27,0.931,sink,rename_only,atomic,11,72,0.004365595101915674,0.5972222222222222,0.004,2.7256468354848176,0.8055596383602807,0.7777777777777778,-0.0035313778246171762,0.375,0.03,-2.3567430931324247,-0.14824997717411056,0.3611111111111111,0.016248919069767,0.7083333333333334
starcoder2-3b,clens,27,0.931,sink,opaque_only,atomic,12,72,0.01305614350870505,0.75,0.0,5.02343474524313,0.8131683113515666,0.875,-0.006195135738612025,0.3194444444444444,0.0,-3.3272069205027015,-0.1133186363653543,0.3888888888888889,0.03529188368055555,0.7638888888888888
starcoder2-3b,clens,27,0.931,sink,encode_only,atomic,13,72,0.013273826973350507,0.7361111111111112,0.0,5.0115891954751035,0.7264344155829212,0.8055555555555556,-0.008068895584276058,0.25,0.0,-4.697844991967239,-0.19214556742788838,0.2916666666666667,0.04142253018087811,0.8333333333333334
