layer,lens,comparison,stratum,accuracy,mean_margin,n
31,clens,next_ident,temporally_matched,0.4857142857142857,-0.09972081865583146,35
31,logit,control_dep,all,0.3980370774263904,-8.095853882501533,917
31,logit,control_dep,indent_matched,0.3811881188118812,-8.300187686882397,808
31,logit,control_dep,non_dependent,0.5229357798165137,-6.58115925920119,109
31,logit,control_dep,temporally_matched,0.5036144578313253,-2.1081876088337728,415
31,logit,guard_var,all,0.8133333333333334,27.169759826660155,150
31,logit,guard_var,present_in_program,0.8133333333333334,27.169759826660155,150
31,logit,guard_var,temporally_matched,0.8068965517241379,25.39682501431169,145
31,logit,next_ident,all,0.2733333333333333,-19.58090087890625,150
31,logit,next_ident,present_in_program,0.2733333333333333,-19.58090087890625,150
31,logit,next_ident,temporally_matched,0.4857142857142857,-4.390587071010045,35
31,random,control_dep,all,0.49182115594329334,-0.026227348162147703,917
31,random,control_dep,indent_matched,0.4839108910891089,-0.056169029712529454,808
31,random,control_dep,non_dependent,0.5504587155963303,0.19572566736728772,109
31,random,control_dep,temporally_matched,0.43132530120481927,-0.2066314803189542,415
31,random,guard_var,all,0.48,-0.16586361149946852,150
31,random,guard_var,present_in_program,0.48,-0.16586361149946852,150
31,random,guard_var,temporally_matched,0.496551724137931,-0.1272035202075695,145
31,random,next_ident,all,0.52,-0.03726325690746308,150
31,random,next_ident,present_in_program,0.52,-0.03726325690746308,150
31,random,next_ident,temporally_matched,0.5142857142857142,0.05524655325072152,35
