level,arm,layer,readout,reversal,reversal_ci_lo,reversal_ci_hi,beats_chance,mean_delta,delta_ci_lo,delta_ci_hi,delta_excludes_zero,n,n_bases,split,family,pair_index,inner_word,outer_word
pair,ba,12,jlens,1.0,1.0,1.0,True,0.19400881962584599,0.1869425742853699,0.2010545657960964,True,280,280,test,scope,3.0,nested,module
pair,ba,12,logit,0.9571428571428572,0.9321428571428572,0.9785714285714285,True,3.7432672679424286,3.4811427825050694,4.013453727556127,True,280,280,test,action,7.0,replaced,kept
pair,ba,12,logit,1.0,1.0,1.0,True,5.575580259731837,5.302684273230178,5.837122722161667,True,280,280,test,action,8.0,changed,unchanged
pair,ba,12,logit,1.0,1.0,1.0,True,9.052058652469091,8.808294784469263,9.30913647110973,True,280,280,test,positional,4.0,later,earlier
pair,ba,12,logit,0.0,0.0,0.0,False,-4.455962264537812,-4.677659388823169,-4.254596360474825,False,280,280,test,positional,5.0,second,first
pair,ba,12,logit,0.9714285714285714,0.95,0.9892857142857143,True,3.911670482797282,3.657761593636658,4.152977330056684,True,280,280,test,positional,6.0,new,original
pair,ba,12,logit,1.0,1.0,1.0,True,8.731948620932442,8.480067948230674,8.992232966806208,True,280,280,test,scope,0.0,local,global
pair,ba,12,logit,0.475,0.41785714285714287,0.5321428571428571,False,-0.09069427081516811,-0.32418015643954273,0.14933313601783327,False,280,280,test,scope,1.0,inner,outer
pair,ba,12,logit,0.6821428571428572,0.6285714285714286,0.7392857142857143,True,0.7930766080107008,0.5382550174423627,1.0505824365573266,True,280,280,test,scope,2.0,inside,outside
pair,ba,12,logit,0.8964285714285715,0.8606250000000001,0.9285714285714286,True,3.0675843817847115,2.80592468606042,3.328506490864924,True,280,280,test,scope,3.0,nested,module
pair,ba,16,gram_random,0.39928571428571424,0.3885714285714285,0.4099999999999999,False,-0.08245076169259846,-0.08781395574931852,-0.07689304021253651,False,280,280,test,action,7.0,replaced,kept
pair,ba,16,gram_random,0.8571428571428571,0.8414285714285714,0.8721428571428571,True,0.20047935341085707,0.19570300394988485,0.2051790217535038,True,280,280,test,action,8.0,changed,unchanged
pair,ba,16,gram_random,0.5214285714285715,0.49642857142857144,0.5449999999999999,False,0.01592176934970277,0.010030838467280513,0.021686660356952672,True,280,280,test,positional,4.0,later,earlier
pair,ba,16,gram_random,0.7428571428571429,0.7299999999999999,0.7542857142857142,True,0.1274823401775211,0.1217925128871575,0.13303013534943706,True,280,280,test,positional,5.0,second,first
pair,ba,16,gram_random,0.7349999999999999,0.7221428571428571,0.7464285714285714,True,0.07610138500907591,0.0711705026421696,0.08092940052133053,True,280,280,test,positional,6.0,new,original
pair,ba,16,gram_random,0.2307142857142857,0.215,0.24642857142857144,False,-0.11732277620051589,-0.12155949488807734,-0.11312516185228846,False,280,280,test,scope,0.0,local,global
pair,ba,16,gram_random,0.46785714285714286,0.45000000000000007,0.48500000000000004,False,-0.004775554120008434,-0.008278852213639767,-0.0011211488886869398,False,280,280,test,scope,1.0,inner,outer
