model,item_id,family,pair_id,arm,read,layer,direction,edit,clean_logit_diff,ablated_logit_diff,delta_logit_diff,edit_norm_ratio
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,20,jlens,erase,1.75,1.5,-0.25,0.010175447603920758
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,20,rlens,erase,1.75,1.75,0.0,0.012233322358219879
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,20,logit,erase,1.75,1.75,0.0,0.00026713314570986796
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,20,offtarget_j,erase,1.75,1.75,0.0,0.02127016051953622
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,20,offtarget_r,erase,1.75,1.75,0.0,0.0025022085836760195
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,20,random,erase,1.75,1.75,0.0,0.01990183928690821
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,20,random_matched,erase,1.75,1.5,-0.25,0.010175448298524745
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,12,jlens,erase,1.75,1.75,0.0,0.031053354665228756
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,12,rlens,erase,1.75,1.75,0.0,0.05121151986753683
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,12,logit,erase,1.75,1.75,0.0,0.0038970825020361297
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,12,offtarget_j,erase,1.75,1.75,0.0,0.02573407901596503
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,12,offtarget_r,erase,1.75,1.75,0.0,0.05563150878433831
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,12,random,erase,1.75,1.75,0.0,0.004211729056968991
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,12,random_matched,erase,1.75,1.75,0.0,0.031053358573047255
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,16,jlens,erase,1.75,1.75,0.0,0.033972960822640605
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,16,rlens,erase,1.75,1.75,0.0,0.025772057888472966
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,16,logit,erase,1.75,1.75,0.0,0.00615163445463023
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,16,offtarget_j,erase,1.75,1.75,0.0,0.0283469645621344
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,16,offtarget_r,erase,1.75,1.75,0.0,0.007900554576600952
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,16,random,erase,1.75,1.75,0.0,0.01493760549322884
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,16,random_matched,erase,1.75,1.5,-0.25,0.03397295741149048
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,20,jlens,erase,1.75,1.75,0.0,0.03976419017725158
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,20,rlens,erase,1.75,1.5,-0.25,0.04338287892983744
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,20,logit,erase,1.75,1.5,-0.25,0.019306214643369367
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,20,offtarget_j,erase,1.75,1.5,-0.25,0.03779991897660509
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,20,offtarget_r,erase,1.75,1.75,0.0,0.036143353061862726
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,20,random,erase,1.75,1.75,0.0,0.02412830781613741
