level,arm,control,layer,reversal_clens,reversal_control,difference,ci_lo,ci_hi,beats_control,n,n_bases,split,family,pair_index,inner_word,outer_word
pair,ab,logit,20,0.9642857142857143,0.9714285714285714,-0.007142857142857143,-0.025,0.010714285714285714,False,280,280,test,scope,3.0,nested,module
pair,ab,logit,24,0.8142857142857143,0.8321428571428572,-0.017857142857142856,-0.05,0.010714285714285714,False,280,280,test,action,7.0,replaced,kept
pair,ab,logit,24,0.06785714285714285,0.07142857142857142,-0.0035714285714285713,-0.02142857142857143,0.014285714285714285,False,280,280,test,action,8.0,changed,unchanged
pair,ab,logit,24,0.8821428571428571,0.7035714285714286,0.17857142857142858,0.1357142857142857,0.225,True,280,280,test,positional,4.0,later,earlier
pair,ab,logit,24,0.175,0.10714285714285714,0.06785714285714285,0.03571428571428571,0.10357142857142858,True,280,280,test,positional,5.0,second,first
pair,ab,logit,24,0.22142857142857142,0.1392857142857143,0.08214285714285714,0.04642857142857143,0.12142857142857143,True,280,280,test,positional,6.0,new,original
pair,ab,logit,24,0.9857142857142858,0.9892857142857143,-0.0035714285714285713,-0.010714285714285714,0.0,False,280,280,test,scope,0.0,local,global
pair,ab,logit,24,0.5142857142857142,0.3535714285714286,0.16071428571428573,0.11785714285714285,0.20357142857142857,True,280,280,test,scope,1.0,inner,outer
pair,ab,logit,24,0.85,0.5857142857142857,0.2642857142857143,0.21785714285714286,0.31785714285714284,True,280,280,test,scope,2.0,inside,outside
pair,ab,logit,24,0.9928571428571429,0.9857142857142858,0.007142857142857143,0.0,0.017857142857142856,False,280,280,test,scope,3.0,nested,module
