model,layer,site,condition,lens_a,lens_b,cosine,spearman,n_tokens
starcoder2-3b,19,last_token,rename_cumulative,logit,rlens,0.683541542131942,0.6523631553363244,196
starcoder2-3b,19,last_token,rename_only,jlens,logit,0.6886087359417731,0.6679390225438087,196
starcoder2-3b,19,last_token,rename_only,jlens,rlens,0.9652140422971315,0.9562192702149194,196
starcoder2-3b,19,last_token,rename_only,logit,rlens,0.6991432834997546,0.6637330762058825,196
starcoder2-3b,19,last_token,rename_opaque,jlens,logit,0.7278036827646686,0.697308927475715,196
starcoder2-3b,19,last_token,rename_opaque,jlens,rlens,0.9612800458954432,0.958906358326228,196
starcoder2-3b,19,last_token,rename_opaque,logit,rlens,0.7415153753676421,0.7048410617663701,196
starcoder2-3b,19,last_token,rename_opaque_encode,jlens,logit,0.6812376452373612,0.6425009363370495,196
starcoder2-3b,19,last_token,rename_opaque_encode,jlens,rlens,0.9614130845002589,0.9569205268987722,196
starcoder2-3b,19,last_token,rename_opaque_encode,logit,rlens,0.6871467766237022,0.6327885312656887,196
starcoder2-3b,19,last_token,rename_opaque_encode_flatten,jlens,logit,0.6197074623021019,0.6093872769724837,196
starcoder2-3b,19,last_token,rename_opaque_encode_flatten,jlens,rlens,0.9668359131227294,0.9617002287053049,196
starcoder2-3b,19,last_token,rename_opaque_encode_flatten,logit,rlens,0.6557822941734243,0.638454366518181,196
starcoder2-3b,23,last_token,clean_heldout,jlens,logit,0.7526665125316728,0.7219867876865702,196
starcoder2-3b,23,last_token,clean_heldout,jlens,rlens,0.9947127228527367,0.9920471116990334,196
starcoder2-3b,23,last_token,clean_heldout,logit,rlens,0.7610552801373344,0.7393508594378791,196
starcoder2-3b,23,last_token,encode_only,jlens,logit,0.8104130575918923,0.7930464024735236,196
starcoder2-3b,23,last_token,encode_only,jlens,rlens,0.9943503687505271,0.9933061861995873,196
starcoder2-3b,23,last_token,encode_only,logit,rlens,0.8169552843941783,0.8009419152276296,196
starcoder2-3b,23,last_token,flatten_only,jlens,logit,0.7350834911471253,0.70348158005881,196
starcoder2-3b,23,last_token,flatten_only,jlens,rlens,0.9918556554339726,0.9890763333838027,196
starcoder2-3b,23,last_token,flatten_only,logit,rlens,0.7490675666550007,0.7238562742551141,196
starcoder2-3b,23,last_token,normalize,jlens,logit,0.7869053483549161,0.7636159344643755,196
starcoder2-3b,23,last_token,normalize,jlens,rlens,0.9944249988179955,0.9929125261975155,196
starcoder2-3b,23,last_token,normalize,logit,rlens,0.7991642268868124,0.7771964076532605,196
starcoder2-3b,23,last_token,opaque_only,jlens,logit,0.836424983792687,0.8150244244515455,196
starcoder2-3b,23,last_token,opaque_only,jlens,rlens,0.9948737588291525,0.9936839085497535,196
starcoder2-3b,23,last_token,opaque_only,logit,rlens,0.8426840861315831,0.8224274637617641,196
starcoder2-3b,23,last_token,rename_cumulative,jlens,logit,0.8029154116517548,0.8064754679693042,196
starcoder2-3b,23,last_token,rename_cumulative,jlens,rlens,0.9925761946286634,0.9904485652128873,196
starcoder2-3b,23,last_token,rename_cumulative,logit,rlens,0.8099587887698045,0.814600482910853,196
starcoder2-3b,23,last_token,rename_only,jlens,logit,0.833976299740642,0.8289523384519759,196
starcoder2-3b,23,last_token,rename_only,jlens,rlens,0.9928151773616418,0.9922941453035725,196
starcoder2-3b,23,last_token,rename_only,logit,rlens,0.8374083698411121,0.831712739762051,196
starcoder2-3b,23,last_token,rename_opaque,jlens,logit,0.8183770286353284,0.8316569579803809,196
starcoder2-3b,23,last_token,rename_opaque,jlens,rlens,0.9929944496870862,0.9920487054642242,196
starcoder2-3b,23,last_token,rename_opaque,logit,rlens,0.8241467121080412,0.8363314712843357,196
starcoder2-3b,23,last_token,rename_opaque_encode,jlens,logit,0.7751366066496403,0.7759580521001841,196
starcoder2-3b,23,last_token,rename_opaque_encode,jlens,rlens,0.9925882285395726,0.9914111993879943,196
starcoder2-3b,23,last_token,rename_opaque_encode,logit,rlens,0.7681785953575357,0.7707655651092925,196
starcoder2-3b,23,last_token,rename_opaque_encode_flatten,jlens,logit,0.7249072590283658,0.7380806285809912,196
starcoder2-3b,23,last_token,rename_opaque_encode_flatten,jlens,rlens,0.9948719929800931,0.9919897361521729,196
starcoder2-3b,23,last_token,rename_opaque_encode_flatten,logit,rlens,0.7311601167672563,0.7357760441154205,196
starcoder2-3b,27,last_token,clean_heldout,jlens,logit,0.8259864244694922,0.7799281211899052,196
starcoder2-3b,27,last_token,clean_heldout,jlens,rlens,0.9988031449463912,0.9981926702738887,196
starcoder2-3b,27,last_token,clean_heldout,logit,rlens,0.8265988410719827,0.781456542007666,196
